file_id,relative_path,file_type,extension,size_bytes,line_count,is_text,is_binary,is_source_code,is_config,is_netlist,is_data,is_test,is_documentation,main_purpose,key_classes,key_functions,key_inputs,key_outputs,depends_on,used_by,relevance_to_sram_layoutgen,relevance_category,can_drive_layout_generation,can_provide_netlist_semantics,can_provide_module_definition,can_provide_optimization_result,can_be_used_in_next_stage,risk_or_limitation,notes
OYF0011,img/logo-cut-openyield.jpg,binary_asset,.jpg,1854431,0,False,True,False,False,False,False,False,False,Image asset for documentation.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Documentation image asset with no layout-generation semantics.,DOCUMENTATION,False,False,False,False,False,Documentation asset only.,Binary or non-text asset.
OYF0012,img/openyield_all-overall.drawio.png,binary_asset,.png,216856,0,False,True,False,False,False,False,False,False,Image asset for documentation.,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Documentation image asset with no layout-generation semantics.,DOCUMENTATION,False,False,False,False,False,Documentation asset only.,Binary or non-text asset.
OYF0013,main_estimation.py,source_code,.py,6091,112,True,False,True,False,False,False,False,False,Yield-estimation driver that runs SRAM failure-probability algorithms over SPICE-backed testbenches.,NONE,NONE,UNKNOWN,UNKNOWN,"PySpice.Unit, numpy, sram_yield_estimation.model_lib.ACS, sram_yield_estimation.model_lib.AIS, sram_yield_estimation.model_lib.HSCS, sram_yield_estimation.model_lib.MC, sram_yield_estimation.model_lib.MNIS, sram_yield_estimation.model_lib.spice, sram_yield_estimation.tool.Distribution.gmm_v2, sram_yield_estimation.tool.Distribution.normal_v1, testbenches.sram_6t_core_MC_testbench, testbenches.sram_6t_core_testbench, utils, warnings",UNKNOWN,"Script entrypoint for optimization or estimation flows, useful for locating execution roots but not direct GDS generation.",SCRIPT_ENTRYPOINT,False,False,False,False,False,UNKNOWN,NONE
OYF0014,main_opt.py,source_code,.py,3506,91,True,False,True,False,False,False,False,False,Interactive entrypoint that selects and launches SRAM sizing/architecture optimization demos.,NONE,NONE,UNKNOWN,UNKNOWN,"importlib, os, sys, traceback",UNKNOWN,"Script entrypoint for optimization or estimation flows, useful for locating execution roots but not direct GDS generation.",SCRIPT_ENTRYPOINT,False,False,False,False,False,UNKNOWN,NONE
OYF0015,main_sram.py,source_code,.py,6128,113,True,False,True,False,False,False,False,False,Primary SRAM simulation entrypoint that loads YAML configs and runs transistor-level SRAM testbenches.,NONE,NONE,"YAML configs, transistor/device parameters, SRAM array size, simulation mode.","SPICE netlists, Xyce simulation outputs, CSV stats, waveform/result directories.","PySpice.Unit, datetime, numpy, os, sram_compiler.config_yaml.config, sram_compiler.testbenches.sram_6t_core_MC_testbench, sram_compiler.testbenches.yaml_change, utils",UNKNOWN,Top-level OpenYield SRAM netlist generator entrypoint; useful as a trace source for future netlist-to-layout translation.,NETLIST_SOURCE,True,True,False,False,True,"Generates or mutates simulation-side YAML and netlists, but does not emit physical GDS or a proven layout trace.",NONE
OYF0016,plot_data.py,source_code,.py,13701,397,True,False,True,False,False,False,False,False,UNKNOWN,NONE,"plot_delay, plot_power, plot_rc_delay, plot_leak_delay",CSV or numeric result files.,Plots or visualizations.,"PySpice.Unit, matplotlib.pyplot, numpy, testbenches.sram_6t_core_MC_testbench, testbenches.sram_6t_core_testbench",UNKNOWN,Project-level utility or environment helper with indirect integration relevance only.,UTILITY,False,False,False,False,False,UNKNOWN,NONE
OYF0017,readme_compiler.md,documentation,.md,18339,550,True,False,False,False,False,False,False,True,Documentation file.,UNKNOWN,UNKNOWN,CSV or numeric result files.,Plots or visualizations.,UNKNOWN,UNKNOWN,Documentation or license material; informative for understanding the project but not a layout driver.,DOCUMENTATION,False,False,False,False,False,UNKNOWN,NONE
OYF0018,refreshenv,source_code,NONE,0,0,True,False,True,False,False,False,False,False,Environment helper script.,NONE,NONE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Project-level utility or environment helper with indirect integration relevance only.,UTILITY,False,False,False,False,False,UNKNOWN,NONE
OYF0019,size_optimization/MOBO/README.md,optimization_asset,.md,6713,239,True,False,False,False,False,False,False,True,Implements or configures SRAM sizing/architecture optimization algorithms.,UNKNOWN,UNKNOWN,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",UNKNOWN,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0020,size_optimization/MOBO/__init__.py,optimization_source,.py,0,0,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,NONE,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0021,size_optimization/MOBO/acquisition.py,optimization_source,.py,3821,124,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,"extract_pareto_front, dominates, compute_hypervolume_2d, compute_hypervolume, compute_hypervolume_improvement, monte_carlo_ehvi, create_individuals_from_front","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","individual, numpy","size_optimization/MOBO/bayesian_optimizer.py, size_optimization/demo_cbo.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0022,size_optimization/MOBO/bayesian_optimizer.py,optimization_source,.py,12339,297,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,BayesianOptimizer,"__init__, optimize, _initial_sampling, _evaluate, _find_best_candidate, _sample_candidates","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","acquisition, itertools, numpy, sklearn.gaussian_process, sklearn.gaussian_process.kernels, sklearn.preprocessing, time, tqdm",size_optimization/MOBO/main.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0023,size_optimization/MOBO/individual.py,optimization_source,.py,749,22,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Individual,"__init__, __eq__, dominates","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,"size_optimization/MOBO/acquisition.py, size_optimization/MOBO/problem.py, size_optimization/NSGA-II/problem.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py, size_optimization/moead/problem.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0024,size_optimization/MOBO/main.py,optimization_source,.py,1228,48,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,"zdt1_f1, zdt1_f2, main, obj1, obj2","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","bayesian_optimizer, numpy, problem",UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0025,size_optimization/MOBO/population.py,optimization_source,.py,398,17,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Population,"__init__, __len__, __iter__, extend, append","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,"size_optimization/NSGA-II/evolution.py, size_optimization/NSGA-II/nsga2_utils.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0026,size_optimization/MOBO/problem.py,optimization_source,.py,1557,38,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Problem,"__init__, generate_individual, calculate_objectives","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","individual, numpy, random","size_optimization/MOBO/main.py, size_optimization/NSGA-II/main.py, size_optimization/moead/__init__.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0027,size_optimization/NSGA-II/Readme.md,optimization_asset,.md,0,0,True,False,False,False,False,False,False,True,Implements or configures SRAM sizing/architecture optimization algorithms.,UNKNOWN,UNKNOWN,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",UNKNOWN,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0028,size_optimization/NSGA-II/__init__.py,optimization_source,.py,0,0,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,NONE,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0029,size_optimization/NSGA-II/evolution.py,optimization_source,.py,3612,72,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Evolution,"__init__, evolve","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","nsga2_utils, population, tqdm","size_optimization/NSGA-II/main.py, size_optimization/demo_nsgaii.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0030,size_optimization/NSGA-II/individual.py,optimization_source,.py,749,22,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Individual,"__init__, __eq__, dominates","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,"size_optimization/MOBO/acquisition.py, size_optimization/MOBO/problem.py, size_optimization/NSGA-II/problem.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py, size_optimization/moead/problem.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0031,size_optimization/NSGA-II/main.py,optimization_source,.py,1054,46,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,"zdt1_f1, zdt1_f2, main, obj1, obj2","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","evolution, numpy, problem",UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0032,size_optimization/NSGA-II/nsga2_utils.py,optimization_source,.py,6908,165,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NSGA2Utils,"__init__, create_initial_population, fast_nondominated_sort, calculate_crowding_distance, crowding_operator, create_children, __crossover, __get_beta, __mutate, __get_delta, __tournament, __choose_with_prob","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","math, population, random",size_optimization/NSGA-II/evolution.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0033,size_optimization/NSGA-II/population.py,optimization_source,.py,398,17,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Population,"__init__, __len__, __iter__, extend, append","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,"size_optimization/NSGA-II/evolution.py, size_optimization/NSGA-II/nsga2_utils.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0034,size_optimization/NSGA-II/problem.py,optimization_source,.py,1557,38,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Problem,"__init__, generate_individual, calculate_objectives","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","individual, numpy, random","size_optimization/MOBO/main.py, size_optimization/NSGA-II/main.py, size_optimization/moead/__init__.py","Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0035,size_optimization/README.md,optimization_asset,.md,2646,103,True,False,False,False,False,False,False,True,Implements or configures SRAM sizing/architecture optimization algorithms.,UNKNOWN,UNKNOWN,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",UNKNOWN,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0036,size_optimization/borl_model/actor_critic.py,optimization_source,.py,3966,112,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,ActorCritic,"__init__, act, evaluate","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","logging, size_optimization.borl_model.actor_net, size_optimization.borl_model.buffer, size_optimization.borl_model.critic_net, torch, torch.distributions, torch.nn, traceback",size_optimization/borl_model/ppo.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0037,size_optimization/borl_model/actor_net.py,optimization_source,.py,3012,86,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,ActorPolicyNet,"__init__, forward","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","logging, torch, torch.nn, torch.nn.functional, traceback",size_optimization/borl_model/actor_critic.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0038,size_optimization/borl_model/buffer.py,optimization_source,.py,356,14,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,Memory,"__init__, clear_memory","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",NONE,size_optimization/borl_model/actor_critic.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0039,size_optimization/borl_model/critic_net.py,optimization_source,.py,1964,64,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,CriticNet,"__init__, forward","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","logging, torch, torch.nn, torch.nn.functional, traceback",size_optimization/borl_model/actor_critic.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0040,size_optimization/borl_model/ppo.py,optimization_source,.py,4469,118,True,False,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,PPO,"__init__, update","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","logging, size_optimization.borl_model.actor_critic, torch, torch.nn, traceback",size_optimization/demo_roseopt.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0041,size_optimization/config_sram.yaml,optimization_asset,.yaml,6966,131,True,False,False,True,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,UNKNOWN,UNKNOWN,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",UNKNOWN,UNKNOWN,"Optimization configuration, not physical layout source; may guide future translator inputs indirectly.",CONFIG,False,False,False,False,False,Configuration alone cannot prove which physical layout cell should implement a given OpenYield module.,NONE
OYF0042,size_optimization/demo_cbo.py,optimization_source,.py,23314,563,True,False,True,False,False,False,False,False,SRAM Circuit Optimization using Constrained Bayesian Optimization,"SRAMParameterSpace, ConstrainedBayesianOptimizer","random_search, bayesian_optimization, main, __init__, convert_params, print_params, __init__, suggest, observe","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","botorch.acquisition, botorch.acquisition.multi_objective.monte_carlo, botorch.fit, botorch.models, botorch.models.model_list_gp_regression, botorch.optim, botorch.utils.multi_objective.box_decompositions.non_dominated, botorch.utils.transforms, csv, gpytorch.mlls, gpytorch.mlls.sum_marginal_log_likelihood, matplotlib, matplotlib.pyplot, numpy, os, pandas, pathlib, random, size_optimization.exp_utils, sys",size_optimization/run_experiments.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0043,size_optimization/demo_cmaes.py,optimization_source,.py,7510,224,True,False,True,False,False,False,False,False,SRAM Circuit Optimization using CMA-ES (Covariance Matrix Adaptation Evolution Strategy),"SRAMParameterSpace, CMAESOptimizer","main, __init__, dim, convert_params, print_params, __init__, run","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","cma, numpy, os, size_optimization.exp_utils, sys, time, torch, warnings",UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0044,size_optimization/demo_cpn.py,optimization_source,.py,10104,300,True,False,True,False,False,False,False,False,SRAM Circuit Optimization using CPN (TabPFN-based Bayesian Optimization),"SRAMParameterSpace, TabPFNDirectFoMOptimizer","main, __init__, dim, convert_params, print_params, __init__, add_observation, get_next_point, _generate_candidates","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","numpy, os, scipy.stats, size_optimization.exp_utils, sys, tabpfn, time, torch, warnings",UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0045,size_optimization/demo_mobo.py,optimization_source,.py,19324,0,False,True,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,NONE,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",UNKNOWN,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,Binary or non-text asset.
OYF0046,size_optimization/demo_moead.py,optimization_source,.py,35543,0,False,True,True,False,False,False,False,False,Implements or configures SRAM sizing/architecture optimization algorithms.,NONE,NONE,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.",UNKNOWN,UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,Binary or non-text asset.
OYF0047,size_optimization/demo_nsgaii.py,optimization_source,.py,22774,525,True,False,True,False,False,False,False,False,SRAM Circuit Optimization using NSGA-II,"Tee, Problem, Individual","main, __init__, write, flush, __init__, generate_individual, calculate_objectives, _append_iteration_csv, evaluate_joint, get_objectives_for_params, f1_snm, f2_power, f3_area, f4_delay, _eval_ext_full, _eval_ext_objs, __init__, dominates","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","argparse, csv, datetime, evolution, individual, numpy, os, pathlib, population, size_optimization.exp_utils, size_optimization.experiment, sys, time, torch, utils, warnings",UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0048,size_optimization/demo_pso.py,optimization_source,.py,18054,443,True,False,True,False,False,False,False,False,SRAM Circuit Optimization using PSO Algorithm,PSOOptimizer,"format_initial_result, main, __init__, evaluate, run_optimization","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","numpy, os, pathlib, size_optimization.exp_utils, sys, time, torch, warnings",size_optimization/run_experiments.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0049,size_optimization/demo_random.py,optimization_source,.py,2046,62,True,False,True,False,False,False,False,False,Random Search baseline for SRAM circuit optimization.,NONE,main,"Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","numpy, os, size_optimization.exp_utils, sys, torch, warnings",UNKNOWN,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
OYF0050,size_optimization/demo_roseopt.py,optimization_source,.py,31253,775,True,False,True,False,False,False,False,False,This file implements the RoSE-Opt algorithm for SRAM optimization.,"Normalizer, SRAMCircuitEnv, SRAM_BORL","format_initial_result, main, __init__, normalize, denormalize, __init__, reset, step, __init__, _init_gp_model, train, print_final_results, expected_improvement","Optimization config, objective bounds, simulation callbacks.","Optimization trajectories, selected parameter sets, CSV results.","csv, gymnasium, matplotlib.pyplot, numpy, os, pandas, pathlib, random, scipy.stats, size_optimization.borl_model.ppo, size_optimization.exp_utils, sklearn.gaussian_process, sklearn.gaussian_process.kernels, sys, time, torch, tqdm, warnings",size_optimization/run_experiments.py,"Optimization-side code for sizing/search, not a physical GDS implementation source.",OPTIMIZATION_ALGORITHM,False,False,False,True,False,Optimization or estimation logic is not a physical-layout implementation source.,NONE
