relative_path,file_type,key_classes,key_functions,depends_on,used_by,main_purpose,relevance_category
size_optimization/demo_mobo.py,optimization_source,NONE,NONE,UNKNOWN,UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/demo_moead.py,optimization_source,NONE,NONE,UNKNOWN,UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/demo_nsgaii.py,optimization_source,"Tee, Problem, Individual","main, __init__, write, flush, __init__, generate_individual, calculate_objectives, _append_iteration_csv, evaluate_joint, get_objectives_for_params, f1_snm, f2_power, f3_area, f4_delay, _eval_ext_full, _eval_ext_objs, __init__, dominates","argparse, csv, datetime, evolution, individual, numpy, os, pathlib, population, size_optimization.exp_utils, size_optimization.experiment, sys, time, torch, utils, warnings",UNKNOWN,SRAM Circuit Optimization using NSGA-II,OPTIMIZATION_ALGORITHM
size_optimization/demo_pso.py,optimization_source,PSOOptimizer,"format_initial_result, main, __init__, evaluate, run_optimization","numpy, os, pathlib, size_optimization.exp_utils, sys, time, torch, warnings",size_optimization/run_experiments.py,SRAM Circuit Optimization using PSO Algorithm,OPTIMIZATION_ALGORITHM
size_optimization/demo_random.py,optimization_source,NONE,main,"numpy, os, size_optimization.exp_utils, sys, torch, warnings",UNKNOWN,Random Search baseline for SRAM circuit optimization.,OPTIMIZATION_ALGORITHM
size_optimization/demo_roseopt.py,optimization_source,"Normalizer, SRAMCircuitEnv, SRAM_BORL","format_initial_result, main, __init__, normalize, denormalize, __init__, reset, step, __init__, _init_gp_model, train, print_final_results, expected_improvement","csv, gymnasium, matplotlib.pyplot, numpy, os, pandas, pathlib, random, scipy.stats, size_optimization.borl_model.ppo, size_optimization.exp_utils, sklearn.gaussian_process, sklearn.gaussian_process.kernels, sys, time, torch, tqdm, warnings",size_optimization/run_experiments.py,This file implements the RoSE-Opt algorithm for SRAM optimization.,OPTIMIZATION_ALGORITHM
size_optimization/demo_sa.py,optimization_source,SAOptimizer,"format_initial_result, main, __init__, evaluate, run_optimization, observe","numpy, os, pathlib, random, size_optimization.exp_utils, sys, time, torch, traceback, warnings",size_optimization/run_experiments.py,SRAM Circuit Optimization using Simulated Annealing Algorithm,OPTIMIZATION_ALGORITHM
size_optimization/demo_smac.py,optimization_source,SMACOptimizer,"main, __init__, _create_config_space, smac_objective, run_optimization","ConfigSpace, ConfigSpace.hyperparameters, csv, numpy, os, pathlib, random, size_optimization.exp_utils, smac, smac.runhistory.dataclasses, sys, time, torch, warnings",size_optimization/run_experiments.py,SRAM Circuit Optimization using SMAC Algorithm,OPTIMIZATION_ALGORITHM
size_optimization/demo_tssbo.py,optimization_source,"SRAMParameterSpace, TSSBOOptimizer","main, __init__, dim, convert_params, print_params, __init__, _to_tss, _to_framework, _eval_batch, run","math, numpy, os, pickle, size_optimization.exp_utils, src.tSS_BO, src.util, sys, time, torch, warnings",UNKNOWN,SRAM Circuit Optimization using tSS-BO (truncated Subspace Sampling Bayesian Optimization),OPTIMIZATION_ALGORITHM
size_optimization/exp_utils.py,optimization_source,"ConfigLoader, ModifiedSRAMParameterSpace, CompositeSRAMParameterSpace, BaseOptimizer, OptimizationLogger","seed_set, create_directories, get_default_initial_params, _load_sram_config_from_yaml, get_params_from_yaml, get_peripheral_params_from_yaml, get_composite_initial_params, estimate_scaled_total_area, get_default_normalized_vector, get_default_transistor_features, get_default_fallback_result, run_initial_evaluation, _build_scalar_def, _build_list_def, _is_constant_def, _build_peripheral_defs_from_yaml, apply_params_to_sram_config, collect_peripheral_param_columns","PySpice.Unit, __future__, abc, config, csv, json, matplotlib.pyplot, mpl_toolkits.mplot3d, numpy, os, pathlib, random, sram_compiler.testbenches.sram_6t_core_MC_testbench, time, torch, traceback, typing, utils, yaml","size_optimization/demo_cbo.py, size_optimization/demo_cmaes.py, size_optimization/demo_cpn.py, size_optimization/demo_nsgaii.py, size_optimization/demo_pso.py, size_optimization/demo_random.py, size_optimization/demo_roseopt.py, size_optimization/demo_sa.py, size_optimization/demo_smac.py, size_optimization/demo_tssbo.py, size_optimization/experiment.py, size_optimization/run_experiments.py, size_optimization/tongji.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/experiment.py,optimization_source,"ArchitectureConfigurationSpace, JointParameterSpace, SAOptimizer, SMACStage1Optimizer, TwoStageOptimizer","evaluate_sram_with_config, main, __init__, _generate_valid_configurations, get_configuration, get_num_configurations, __init__, convert_params, dim, print_params, __init__, _accept_probability, optimize_discrete, optimize_continuous, __init__, smac_objective, optimize_discrete, __init__","ConfigSpace, ConfigSpace.hyperparameters, PySpice.Unit, config, csv, datetime, math, matplotlib.pyplot, numpy, os, pathlib, random, size_optimization, size_optimization.exp_utils, smac, sram_compiler.testbenches.sram_6t_core_MC_testbench, sys, time, torch, traceback","size_optimization/demo_nsgaii.py, size_optimization/run_all_algos_test.py, size_optimization/tongji.py",Two-Stage SRAM Optimization Program,OPTIMIZATION_ALGORITHM
size_optimization/moead/__init__.py,optimization_source,NONE,NONE,"individual, optimizer, population, problem",UNKNOWN,MOEAD (Multi-Objective Evolutionary Algorithm based on Decomposition) Module,OPTIMIZATION_ALGORITHM
size_optimization/moead/ga_utils.py,optimization_source,NONE,"continuous_sbx_crossover, continuous_polynomial_mutation, discrete_crossover, discrete_mutation, mixed_crossover, mixed_mutation, generate_offspring, envolution","numpy, random, tqdm, utils",UNKNOWN,MOEAD遗传算法工具,OPTIMIZATION_ALGORITHM
size_optimization/moead/individual.py,optimization_source,Individual,"__init__, __eq__, dominates",NONE,"size_optimization/MOBO/acquisition.py, size_optimization/MOBO/problem.py, size_optimization/NSGA-II/problem.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py, size_optimization/moead/problem.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/moead/mean_vector.py,optimization_source,Mean_vector,"__init__, perm, get_mean_vectors, save_mv_to_file, generate","numpy, os",size_optimization/moead/utils.py,均值向量生成工具,OPTIMIZATION_ALGORITHM
size_optimization/moead/optimizer.py,optimization_source,NONE,NONE,UNKNOWN,size_optimization/moead/__init__.py,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/moead/population.py,optimization_source,Population,"__init__, __len__, __iter__, extend, append",NONE,"size_optimization/NSGA-II/evolution.py, size_optimization/NSGA-II/nsga2_utils.py, size_optimization/demo_nsgaii.py, size_optimization/moead/__init__.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/moead/problem.py,optimization_source,Problem,"__init__, generate_individual, calculate_objectives","individual, numpy, random","size_optimization/MOBO/main.py, size_optimization/NSGA-II/main.py, size_optimization/moead/__init__.py",Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/moead/utils.py,optimization_source,NONE,"Load_W, cpt_Z, update_Z, cpt_W_Bi_T, Tchebycheff_dist, cpt_tchbycheff, update_BTX, is_dominate, init_EP, update_EP_By_ID, update_EP_By_Individual, Creat_Pop","math, mean_vector, numpy, os, random","demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_estimation.py, main_sram.py, size_optimization/demo_nsgaii.py, size_optimization/exp_utils.py, size_optimization/moead/ga_utils.py, sram_compiler/testbenches/sram_6t_core_MC_testbench.py, sram_compiler/testbenches/sram_6t_core_testbench.py, yield_estimation/tool/Distribution/multi_cone_cluster.py",MOEAD工具函数,OPTIMIZATION_ALGORITHM
size_optimization/run_all_algos_test.py,optimization_source,NONE,NONE,"experiment, os, sys, time, traceback",UNKNOWN,Quick validation test: run all algorithms with minimal iterations,OPTIMIZATION_ALGORITHM
size_optimization/run_experiments.py,optimization_source,"ExperimentRunner, CustomEncoder","main, __init__, run_single_algorithm, run_multiple_algorithms, generate_comparison_report, save_detailed_results, generate_plots, print_best_results, default","json, matplotlib.pyplot, os, pandas, pathlib, size_optimization.demo_cbo, size_optimization.demo_pso, size_optimization.demo_roseopt, size_optimization.demo_sa, size_optimization.demo_smac, size_optimization.exp_utils, sys, time, traceback, warnings",UNKNOWN,总控实验文件 - 电路优化算法对比实验,OPTIMIZATION_ALGORITHM
size_optimization/sram_lef_generator.py,optimization_source,NONE,"generate_sram_lef, _write_lef_header, _write_pins, _write_control_pins, _write_address_pins, _write_ioput_pins, _write_power_pins, _write_obstructions, _write_lef_footer, main","math, os",UNKNOWN,Implements or configures SRAM sizing/architecture optimization algorithms.,OPTIMIZATION_ALGORITHM
size_optimization/tongji.py,optimization_source,NONE,"is_valid_combo, compute_num_arrays, main, main_loop, to_float, relative_diff","csv, datetime, exp_utils, experiment, os, pathlib, resource, sys, time",UNKNOWN,SRAM 单阵列多模式统计脚本（32KB 总容量）,OPTIMIZATION_ALGORITHM
sram_compiler/config_yaml/config.py,yaml_config,"AttrDict, GlobalConfig, Parameter, CircuitConfig, ConfigLoader, SRAM_CONFIG","_abs_path, load_global_config, __init__, __repr__, __init__, _process_performance_metrics, _normalize_metric_bounds, __repr__, get_metric, get_metric_names, get_objective_formula, get_constraints, __init__, _coerce_numeric_like, _validate_types, __repr__, __init__, get_parameter","os, typing, yaml","demo_run_a_testbench.py, equivalent_modeling/main_sram.py, main_sram.py, size_optimization/exp_utils.py, size_optimization/experiment.py, sram_compiler/subcircuits/sram_cell_add_equivalent.py",Stores SRAM/global/module parameter configuration consumed by OpenYield netlist generation flows.,CONFIG
sram_compiler/config_yaml/sweep_config.py,yaml_config,NONE,NONE,NONE,sram_compiler/testbenches/sram_6t_core_MC_testbench.py,SRAM 扫描配置文件,CONFIG
sram_compiler/subcircuits/base_subcircuit.py,python_subcircuit_source,BaseSubcircuit,"__init__, add_rc_networks_to_node","PySpice.Spice.Netlist, PySpice.Unit","sram_compiler/subcircuits/decoder.py, sram_compiler/subcircuits/dummy_row_or_column.py, sram_compiler/subcircuits/mux_and_sa.py, sram_compiler/subcircuits/precharge_and_write_driver.py, sram_compiler/subcircuits/replica_column.py, sram_compiler/subcircuits/sram_10t_core.py, sram_compiler/subcircuits/sram_6t_core.py, sram_compiler/subcircuits/sram_cell_add_equivalent.py, sram_compiler/subcircuits/standard_cell.py, sram_compiler/subcircuits/time_generate.py, sram_compiler/subcircuits/wordline_driver.py",Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/decoder.py,python_subcircuit_source,"DECODER3_8, DECODER_CASCADE","__init__, add_decoder_components, __init__","PySpice.Unit, base_subcircuit, math, standard_cell",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/dummy_row_or_column.py,python_subcircuit_source,"Dummy_Cell, Dummy_Column, Dummy_Row","__init__, add_dummy_components, __init__, build_array, __init__, build_array","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit, os, typing",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/mux_and_sa.py,python_subcircuit_source,"ColumnMux, SenseAmp","__init__, add_switch_transistors, __init__, add_sense_transistors","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/precharge_and_write_driver.py,python_subcircuit_source,"Precharge, WriteDriver","__init__, add_precharge_transistors, __init__, add_driver_transistors","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/replica_column.py,python_subcircuit_source,"Replica_Cell, Replica_Column","__init__, add_6T_cell, add_10T_cell, __init__, build_array","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit, os, sram_6t_core, typing",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/sram_10t_core.py,python_subcircuit_source,"Sram10TCell, Sram10TCore","__init__, add_usrdefine_mos_model, add_10T_cell, __init__, build_array, _normalize_real_cell_mode, _should_instantiate_real_cell, _is_unused_cell, _count_unused_cells_in_row, _count_unused_cells_in_col, _count_total_unused_cells","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit, sram_cell_add_equivalent","sram_compiler/subcircuits/sram_cell_add_equivalent.py, sram_compiler/testbenches/parameter_factor.py",Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/sram_6t_core.py,python_subcircuit_source,"Sram6TCell, Sram6TCore","__init__, add_usrdefine_mos_model, add_6T_cell, __init__, build_array, _normalize_real_cell_mode, _should_instantiate_real_cell, _is_unused_cell, _count_unused_cells_in_row, _count_unused_cells_in_col, _count_total_unused_cells","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit, sram_cell_add_equivalent","sram_compiler/subcircuits/replica_column.py, sram_compiler/subcircuits/sram_cell_add_equivalent.py, sram_compiler/testbenches/parameter_factor.py",Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/sram_cell_add_equivalent.py,python_subcircuit_source,SRAMCellParasiticTester,"_build_blue_orange_cmap, last_proportion_mean, _load_default_config, _build_tester_from_core, _add_wl_controlled_static_power, _add_equivalent_circuit_impl, add_6t_equivalent_circuit, add_10t_equivalent_circuit, __init__, _build_sram_cell, _init_circuit, _get_pwl_waveform, _remove_port_sources, _configure_test_sources, get_current, _get_charge, run_sram_transient, extract_parasitic_caps","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit, matplotlib.colors, matplotlib.pyplot, numpy, os, pathlib, scipy.optimize, sram_10t_core, sram_6t_core, sram_compiler.config_yaml.config, sys","sram_compiler/subcircuits/sram_10t_core.py, sram_compiler/subcircuits/sram_6t_core.py",Equivalent-circuit model for unused SRAM cells.,MODULE_DEFINITION
sram_compiler/subcircuits/standard_cell.py,python_subcircuit_source,"Pinv, PNAND2, PNAND3, Pbuff, AND2, AND3, D_latch","__init__, add_inverter_transistors, __init__, add_nand2_transistors, __init__, add_nand3_transistors, __init__, add_buffer_transistors, __init__, add_and3_components, __init__, add_and3_components, __init__, add_d_latch_components","PySpice.Spice.Netlist, PySpice.Unit, base_subcircuit","sram_compiler/subcircuits/decoder.py, sram_compiler/subcircuits/time_generate.py, sram_compiler/subcircuits/wordline_driver.py, sram_compiler/testbenches/sram_6t_core_testbench.py",Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/time_generate.py,python_subcircuit_source,"TransmissionGate, pdrive, pdrive2_for_pre, wl_pdrive, dff, DFF_BUF, DelayChain, WenDelayChain, ADDR_DFF, DATA_DFF, TIME","__init__, add_transmission_gate, __init__, add_buffer_chain, __init__, add_buffer_chain, __init__, add_buffer_chain, __init__, add_dff, __init__, add_dff_buf, __init__, add_delay_chain, __init__, add_delay_chain, __init__, add_addr_dff_array","PySpice.Unit, base_subcircuit, math, standard_cell",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/subcircuits/wordline_driver.py,python_subcircuit_source,WordlineDriver,"__init__, add_driver_components","PySpice.Unit, base_subcircuit, standard_cell",sram_compiler/testbenches/parameter_factor.py,Defines SRAM or peripheral subcircuit generation logic for SPICE/PySpice netlist construction.,MODULE_DEFINITION
sram_compiler/testbenches/base_testbench.py,python_testbench_source,BaseTestbench,"__init__, set_vdd, set_timing_parameters, create_read_periphery, create_write_periphery, create_testbench, run_simulation","PySpice.Spice.Netlist, PySpice.Unit, os",sram_compiler/testbenches/sram_6t_core_testbench.py,Builds simulation testbenches and result-processing flows around generated SRAM netlists.,NETLIST_SOURCE
sram_compiler/testbenches/parameter_factor.py,python_testbench_source,"SenseAmpFactory, ColumnMuxFactory, PrechargeFactory, WriteDriverFactory, WordlineDriverFactory, Sram6TCellFactory, Sram6TCoreFactory, DecoderCascadeFactory, DummyColumnFactory, DummyRowFactory, ReplicaColumnFactory, TIMEFactory","read_mos_model_from_param_file, __init__, _get_config, create, __init__, _get_config, create, __init__, _calculate_dynamic_width, _get_config, create, __init__, _calculate_dynamic_width, _get_config, create, __init__, _calculate_inv_width, _get_config","PySpice.Unit, sram_compiler.subcircuits.decoder, sram_compiler.subcircuits.dummy_row_or_column, sram_compiler.subcircuits.mux_and_sa, sram_compiler.subcircuits.precharge_and_write_driver, sram_compiler.subcircuits.replica_column, sram_compiler.subcircuits.sram_10t_core, sram_compiler.subcircuits.sram_6t_core, sram_compiler.subcircuits.time_generate, sram_compiler.subcircuits.wordline_driver",sram_compiler/testbenches/sram_6t_core_testbench.py,Builds simulation testbenches and result-processing flows around generated SRAM netlists.,NETLIST_SOURCE
sram_compiler/testbenches/snm.py,python_testbench_source,NONE,"split_xyce_prn_runs, find_crossings, extract_classical_snm_from_run, build_stats_table, extract_write_snm_from_run, process_xyce_montecarlo_prn","math, numpy, os, pandas, pathlib, regex, typing",sram_compiler/testbenches/sram_6t_core_MC_testbench.py,Builds simulation testbenches and result-processing flows around generated SRAM netlists.,NETLIST_SOURCE
