net_name,net_class,source_instance,source_pin,destination_instance,destination_pin,bit_index,direction,polarity,timing_class,differential_pair,allowed_layer_class,must_be_matched,must_be_shielded,authority_source,authority_level,note
DIN2,data_write,top_pin,DIN2,write_driver,DIN,2,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT2,data_read,sense_amplifier,Q,top_pin,DOUT2,2,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL3,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[3].Z,array,WL3,3,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL3,bitline,array,BL3,column_path,BL3,3,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR3,bitline,array,BR3,column_path,BR3,3,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN3,data_write,top_pin,DIN3,write_driver,DIN,3,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT3,data_read,sense_amplifier,Q,top_pin,DOUT3,3,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL4,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[4].Z,array,WL4,4,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL4,bitline,array,BL4,column_path,BL4,4,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR4,bitline,array,BR4,column_path,BR4,4,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN4,data_write,top_pin,DIN4,write_driver,DIN,4,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT4,data_read,sense_amplifier,Q,top_pin,DOUT4,4,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL5,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[5].Z,array,WL5,5,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL5,bitline,array,BL5,column_path,BL5,5,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR5,bitline,array,BR5,column_path,BR5,5,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN5,data_write,top_pin,DIN5,write_driver,DIN,5,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT5,data_read,sense_amplifier,Q,top_pin,DOUT5,5,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL6,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[6].Z,array,WL6,6,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL6,bitline,array,BL6,column_path,BL6,6,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR6,bitline,array,BR6,column_path,BR6,6,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN6,data_write,top_pin,DIN6,write_driver,DIN,6,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT6,data_read,sense_amplifier,Q,top_pin,DOUT6,6,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL7,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[7].Z,array,WL7,7,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL7,bitline,array,BL7,column_path,BL7,7,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR7,bitline,array,BR7,column_path,BR7,7,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN7,data_write,top_pin,DIN7,write_driver,DIN,7,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT7,data_read,sense_amplifier,Q,top_pin,DOUT7,7,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL8,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[8].Z,array,WL8,8,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL8,bitline,array,BL8,column_path,BL8,8,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR8,bitline,array,BR8,column_path,BR8,8,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN8,data_write,top_pin,DIN8,write_driver,DIN,8,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT8,data_read,sense_amplifier,Q,top_pin,DOUT8,8,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL9,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[9].Z,array,WL9,9,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL9,bitline,array,BL9,column_path,BL9,9,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR9,bitline,array,BR9,column_path,BR9,9,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN9,data_write,top_pin,DIN9,write_driver,DIN,9,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT9,data_read,sense_amplifier,Q,top_pin,DOUT9,9,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL10,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[10].Z,array,WL10,10,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL10,bitline,array,BL10,column_path,BL10,10,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR10,bitline,array,BR10,column_path,BR10,10,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN10,data_write,top_pin,DIN10,write_driver,DIN,10,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT10,data_read,sense_amplifier,Q,top_pin,DOUT10,10,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL11,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[11].Z,array,WL11,11,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL11,bitline,array,BL11,column_path,BL11,11,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR11,bitline,array,BR11,column_path,BR11,11,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN11,data_write,top_pin,DIN11,write_driver,DIN,11,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT11,data_read,sense_amplifier,Q,top_pin,DOUT11,11,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL12,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[12].Z,array,WL12,12,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL12,bitline,array,BL12,column_path,BL12,12,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR12,bitline,array,BR12,column_path,BR12,12,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN12,data_write,top_pin,DIN12,write_driver,DIN,12,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT12,data_read,sense_amplifier,Q,top_pin,DOUT12,12,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL13,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[13].Z,array,WL13,13,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL13,bitline,array,BL13,column_path,BL13,13,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR13,bitline,array,BR13,column_path,BR13,13,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN13,data_write,top_pin,DIN13,write_driver,DIN,13,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT13,data_read,sense_amplifier,Q,top_pin,DOUT13,13,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL14,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[14].Z,array,WL14,14,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL14,bitline,array,BL14,column_path,BL14,14,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR14,bitline,array,BR14,column_path,BR14,14,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN14,data_write,top_pin,DIN14,write_driver,DIN,14,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT14,data_read,sense_amplifier,Q,top_pin,DOUT14,14,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
WL15,wordline,P2_REAL_ARRAY_V1.decoder_row_path,WL_DRIVER[15].Z,array,WL15,15,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",CURRENT_SOURCE_EXACT,closed in row-path package
BL15,bitline,array,BL15,column_path,BL15,15,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
BR15,bitline,array,BR15,column_path,BR15,15,source_to_destination,see_authority_note,critical,BL/BR,UNASSIGNED_FULL_TOP_PENDING,True,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,column path module readiness failed
DIN15,data_write,top_pin,DIN15,write_driver,DIN,15,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,write path physical contract not closed
DOUT15,data_read,sense_amplifier,Q,top_pin,DOUT15,15,source_to_destination,see_authority_note,data,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,read path physical contract not closed
PRE,control,top_pin,PRE,precharge.ENB,ENB,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,"active-low precharge enable metadata exists, physical handoff not closed"
WL_EN,control,top_pin,WL_EN,wl_driver.B,B,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,"row path local proof exists, full control-source proof pending"
S_EN,control,top_pin,S_EN,sense_amplifier.EN,EN,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,"consumer metadata exists, physical handoff not closed"
W_EN,control,top_pin,W_EN,write_driver.EN,EN,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,"consumer metadata exists, physical handoff not closed"
TIME,control,top_pin,TIME,control_logic,control_logic,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,schedule authority pending
CLK,control,top_pin,CLK,DFF/DFF_BUF/control_logic,DFF/DFF_BUF/control_logic,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,clock distribution physical contract pending
CSB,control,top_pin,CSB,control_logic,control_logic,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,control polarity metadata only
WEB,control,top_pin,WEB,control_logic,control_logic,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,control polarity metadata only
RBL,control,top_pin,RBL,array.replica_bitline,replica_bitline,,source_to_destination,see_authority_note,critical,,UNASSIGNED_FULL_TOP_PENDING,False,False,"row-path package, OpenYield source metadata, current formal config audit",AUTHORITY_PENDING,"array pin exists, upper column/control connection pending"
