section,required_claim,supporting_source,figure_needed,table_needed,data_complete,claim_risk,missing_evidence,next_action
版图验证方法,真实 DRC/connectivity/foreign-net/negative tests/human review 闭环,docs/TEAM_B_FINAL_TECHNICAL_REPORT.json; outputs/M2R_full_sram_regen/current_supported_config/openyield_layoutgen_full_sram_M2R.report.json,verification pipeline,verification summary,True,low,,reuse verification pipeline
电源正确性,3 个 raw-source-backed 配置的正向 power connectivity/topology 已闭合到报告边界,docs/POWER_ROUTING_CORRECTNESS_GATE.json; docs/POWER_COMPONENT_SUMMARY.csv; docs/POWER_ENDPOINT_COVERAGE.csv,,power coverage table,True,medium,negative geometry mutation harness missing,state positive-only boundary explicitly
仿真闭环,模块级 SPICE 最小真实链路已建立且逻辑仿真/功能仿真 blocker 已明确,docs/PROJECT_SIMULATION_TOOL_SELECTION.md; docs/SIMULATION_RESULTS_SUMMARY.md; docs/SIMULATION_BLOCKERS.md,,simulation matrix,True,medium,trusted Verilog assets and SRAM functional TB still missing,present pass/fail plus blockers explicitly
DRC provenance / waiver,当前项目未使用 approved intentional DRC waiver,docs/DRC_WAIVER_AUDIT.md; docs/DRC_PROVENANCE_AND_WAIVER_POLICY.md,,waiver summary,True,low,decoder live baseline missing for fresh waiver classification,keep zero-waiver position conservative
工业级定位,项目定位为开放研究/教学平台而非工业签核完备编译器,docs/INDUSTRIAL_SRAM_COMPILER_POSITIONING.md; docs/INDUSTRIAL_COMPARISON_CLAIM_MATRIX.csv,,industrial comparison table,True,low,,reuse conservative positioning matrix
负例驱动验证,Team B 使用模块级和 integration 负例回归,outputs/TeamB_9cell_integration/current_supported_config/negative_tests/TEAM_B_9CELL_negative_test_summary.json,,negative test counts,True,low,,render negative count table
代表性 SRAM 结果,当前显式证据绑定的 SRAM 顶层配置库存已从 5 扩展到 10，并与历史 30/21 说法脱钩,docs/SRAM_CONFIGURATION_INVENTORY.csv; docs/FORMAL_SRAM_CONFIG_INVENTORY.json; docs/HISTORICAL_30_CONFIG_21_MODULE_CLAIM_AUDIT.json,representative config views,config inventory,True,medium,no basis to restate 30 as current formal count,use formal config inventory plus audited explicit config inventory
三路线比较,OpenRAM / layoutgen / OpenYield 比较建立在真实证据上,docs/OPENRAM_LAYOUTGEN_OPENYIELD_COMPARISON.csv,comparison radar/block diagram,comparison matrix,True,low,,render comparison figure
局限与未来工作,不能声称 tapeout/signoff/silicon-proven，且仍有 decoder/logic/TB/post-layout/power-negative 等明确 blocker,docs/PROJECT_GAP_REGISTER.csv; docs/PROJECT_INDUSTRIAL_GAP_CLOSURE_GATE.json; docs/PROJECT_FUTURE_ROADMAP.json,,industrial gap closure gate,True,low,,reuse gap register and live closure gate
作者贡献,版图与电路贡献边界清晰,docs/PROJECT_AUTHOR_CONTRIBUTION_BOUNDARY.md,,,True,low,,reuse boundary statement
工具辅助边界,AI/Codex 仅为辅助，关键结果由真实证据闭合,docs/PROJECT_AUTHOR_CONTRIBUTION_BOUNDARY.md,,,True,low,,reuse boundary statement
