rule_id,rule_category,openram_file,class_or_function,line_reference_or_pattern,rule_summary,why_it_matters_for_complete_gds,can_adapt_to_openyield,should_not_copy_directly,c0_blockers_addressed,target_stage_C2_C6,evidence_status
SRC_012,DUMMY_REPLICA_BOUNDARY,/data1/qujh/OpenRAM/compiler/modules/replica_bitcell_array.py,replica_bitcell_array.add_modules,"L105:self.dummy_row = factory.create(module_type=""dummy_array"",",Dummy rows are explicitly instantiated to carry replica wordlines through the array edge.,C3 needs explicit boundary placement semantics for dummy/replica ownership.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,PLACEHOLDER_VISUAL_GEOMETRY",C3,SOURCE_BACKED
SRC_013,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/modules/replica_bitcell_array.py,replica_bitcell_array.add_layout_pins,"L311:self.add_layout_pin(text=pin_name,",Regular and replica WL/BL pins are exported from actual child pins with width/height expanded to the array span.,This is a direct precedent for geometry-backed boundary export instead of label-only pins.,True,False,"MISSING_PIN_GEOMETRY,MISSING_TOP_PIN_GEOMETRY",C2,SOURCE_BACKED
SRC_014,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/modules/replica_bitcell_array.py,replica_bitcell_array.route_supplies,"L354:self.copy_layout_pin(inst, pin_name)",Supply export stays attached to child rail shapes even in replica/dummy-augmented arrays.,C5 needs rail-to-strap stitching to start from real module rails.,True,False,"CONTRACT_POWER_STITCH,APPROXIMATE_POWER_GEOMETRY",C2/C5,SOURCE_BACKED
SRC_015,DUMMY_REPLICA_BOUNDARY,/data1/qujh/OpenRAM/compiler/modules/capped_replica_bitcell_array.py,capped_replica_bitcell_array.add_end_caps,"L274:"""""" Add dummy cells or end caps around the array """"""",Boundary caps are explicitly added around replica arrays to define legal outer edge geometry.,C3 must replace visual placeholders with real boundary-cap organization.,True,False,"PLACEHOLDER_VISUAL_GEOMETRY,FLOORPLAN_NOT_SRAM_LIKE",C3,SOURCE_BACKED
SRC_016,ROW_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/local_bitcell_array.py,local_bitcell_array.place,L181:driver_to_array_spacing = 3 * self.m3_pitch,Wordline driver array is placed adjacent to the array with technology-scaled spacing derived from routing pitch.,C3 needs row-periphery spacing rules tied to access/routing layers.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,CONTRACT_ROUTE",C3,SOURCE_BACKED
SRC_017,WORDLINE_ROUTING,/data1/qujh/OpenRAM/compiler/modules/local_bitcell_array.py,local_bitcell_array.route,L213:global_wl_layer = layer_props.global_bitcell_array.wordline_layer,OpenRAM separates local wordline buffering from global wordline export layers and uses explicit via stacks between them.,OpenYield WL closure needs real layer/direction/access ownership instead of one abstract stripe layer.,True,False,"CONTRACT_ROUTE,PLACEHOLDER_VISUAL_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_018,WORDLINE_ROUTING,/data1/qujh/OpenRAM/compiler/modules/local_bitcell_array.py,local_bitcell_array.route,"L252:self.add_via_stack_center(from_layer=in_pin.layer,",Global WL pins are created only after explicit local-to-global via stacks and short jogs from the driver input side.,C4 must create access-aware WL geometry rather than bbox-only row bars.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_019,ARRAY_STRUCTURE,/data1/qujh/OpenRAM/compiler/modules/global_bitcell_array.py,global_bitcell_array.add_modules,L87:# Always add the left RBLs to the first subarray,"When arrays are segmented, left/right replica ownership stays on the edge local arrays only.","C3 must keep replica timing structures at macro edges, not floating in generic control regions.",True,False,FLOORPLAN_NOT_SRAM_LIKE,C3,SOURCE_BACKED
SRC_020,WORDLINE_ROUTING,/data1/qujh/OpenRAM/compiler/modules/global_bitcell_array.py,global_bitcell_array.add_layout_pins,"L253:self.add_layout_pin_segment_center(text=wl_name,",Global wordlines are stitched across local arrays on a dedicated layer and exported as single continuous pins.,"Multi-slice WL geometry in OpenYield must become continuous physical nets, not separate report entries.",True,False,"CONTRACT_ROUTE,PLACEHOLDER_VISUAL_GEOMETRY",C4,SOURCE_BACKED
SRC_021,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/bank.py,bank.compute_instance_offsets,L186:self.main_bitcell_array_top = self.bitcell_array.get_main_array_top(),"Bank floorplan is anchored to the main array edges, with row/column/control placement computed relative to those edges.",OpenYield C3 must floorplan from real array boundaries rather than independent region boxes.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,PLACEHOLDER_VISUAL_GEOMETRY",C3,SOURCE_BACKED
SRC_022,ROW_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/bank.py,bank.compute_instance_port0_offsets,"L224:self.port_address_offsets[port] = vector(-x_offset,",Row-address path is placed to the left of the main array while column/data path is placed below for port0.,This defines SRAM-like relative organization for row and column periphery.,True,False,FLOORPLAN_NOT_SRAM_LIKE,C3,SOURCE_BACKED
SRC_023,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/bank.py,bank.compute_instance_port1_offsets,"L260:self.port_data_offsets[port] = vector(0, self.bitcell_array_top)","For the second port, data path can move above the array while row path moves to the right, preserving array-centric organization.",The core principle is that array remains the center and periphery attaches to edges by function.,True,True,FLOORPLAN_NOT_SRAM_LIKE,C3,SOURCE_BACKED
SRC_024,BITLINE_ROUTING,/data1/qujh/OpenRAM/compiler/modules/bank.py,bank.route_bitlines,L157:self.route_port_data_to_bitcell_array(port),Bitline path is routed as a structured chain from precharge/column mux/sense/write logic into the bitcell array.,OpenYield must replace one-step contract mapping with staged column-path connectivity.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_025,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/bank.py,bank.route_rbl,"L145:self.add_layout_pin_segment_center(text=""rbl_bl_{0}_{0}"".format(port),",Replica bitline is exported to the bank boundary through explicit routed geometry and side pin placement.,"Replica control/timing signals in OpenYield need geometry-backed routing and export, not report-only ownership.",True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_026,ROW_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/port_address.py,port_address.place_instances,"L244:wordline_driver_array_offset = vector(self.row_decoder_inst.rx(), 0)",Wordline driver is placed directly adjacent to the row decoder and then drives row-aligned outputs into the array edge.,Decoder and WL-driver cannot be treated as unrelated abstract blocks in C3/C4.,True,False,"CONTRACT_ROUTE,FLOORPLAN_NOT_SRAM_LIKE",C3/C4,SOURCE_BACKED
SRC_027,WORDLINE_ROUTING,/data1/qujh/OpenRAM/compiler/modules/port_address.py,port_address.route_internal,"L123:self.add_zjog(self.route_layer, decoder_out_pos, driver_in_pos, var_offset=0.3)",Decoder outputs connect to wordline-driver inputs using explicit jog routing and via stacks between real pins.,"OpenYield control/row path needs actual intermediate connectivity, not a single bbox for the whole fanout.",True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_028,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/modules/port_address.py,port_address.route_supplies,"L90:self.copy_layout_pin(self.wordline_driver_array_inst, ""vdd"")","Row-path VDD/GND are propagated from decoder and wordline-driver geometry, with extra RBL rail stitching only where needed.",OpenYield must repair power continuity at module-rail granularity.,True,False,"CONTRACT_POWER_STITCH,MISSING_PIN_GEOMETRY",C2/C5,SOURCE_BACKED
SRC_029,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/port_data.py,port_data.route_data_lines,L165:# (write_mask_and ->) write_driver -> sense_amp -> (column_mux ->) precharge -> bitcell_array,Column path is an ordered physical chain; BL/BR do not jump directly from top-level net name to every consumer.,This directly addresses OpenYield’s contract-only BL/BR overlay.,True,False,CONTRACT_ROUTE,C4,SOURCE_BACKED
SRC_030,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/port_data.py,port_data.add_modules,L210:precharge_bit_offsets = [self.bit_offsets[0] - precharge_width] + self.bit_offsets,"Precharge, mux, sense amp, and write-driver arrays use common bit offsets derived from bitcell pitch and words-per-row ownership.",C3 must align column modules to array column pitch and mux ratio.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,CONTRACT_ROUTE",C3/C4,SOURCE_BACKED
SRC_031,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/precharge_array.py,precharge_array.place_insts,L120:if self.cell.mirror.y and (i + self.column_offset) % 2:,Precharge cells inherit bitcell mirror parity and column offset so BL/BR access stays aligned to the array.,"Column-path modules must respect bitcell parity, not just nominal x pitch.",True,False,"MISSING_PIN_GEOMETRY,CONTRACT_ROUTE",C2/C3,SOURCE_BACKED
SRC_032,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/modules/precharge_array.py,precharge_array.route_supplies,"L98:self.route_horizontal_pins(""vdd"")",Precharge array exports a continuous horizontal VDD rail rather than an approximate top-level strap.,This is the kind of geometry-backed rail OpenYield needs before top-level stitching.,True,False,"CONTRACT_POWER_STITCH,APPROXIMATE_POWER_GEOMETRY",C2/C5,SOURCE_BACKED
SRC_033,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/sense_amp_array.py,sense_amp_array.place_sense_amp_array,"L130:for i, xoffset in enumerate(self.offsets[0:self.num_cols:self.words_per_row]):","Sense amps are placed on word outputs, not every raw column, and words-per-row determines ownership grouping.",C3/C4 must account for mux ratio when aligning read path modules.,True,False,"CONTRACT_ROUTE,FLOORPLAN_NOT_SRAM_LIKE",C3/C4,SOURCE_BACKED
SRC_034,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/sense_amp_array.py,sense_amp_array.route_rails,"L185:self.add_layout_pin_segment_center(text=self.en_name,",Sense-enable is distributed as explicit rail geometry with vias into each amplifier.,"OpenYield control distribution must become per-consumer geometry, not one contract rectangle.",True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_035,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/write_driver_array.py,write_driver_array.place_write_array,"L167:for i, xoffset in enumerate(self.offsets[0:self.columns:self.words_per_row]):",Write drivers are placed per word output with words-per-row grouping and spare columns handled separately.,OpenYield write path must use word-owned geometry rather than every-column placeholder taps.,True,False,"CONTRACT_ROUTE,FLOORPLAN_NOT_SRAM_LIKE",C3/C4,SOURCE_BACKED
SRC_036,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/write_driver_array.py,write_driver_array.add_layout_pins,"L224:self.add_layout_pin(text=self.en_name + ""_{0}"".format(bit),","Write-enable geometry is exported as a real rail segment, optionally partitioned by write-mask/spare ownership.",OpenYield write enable cannot remain a contract fanout box.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_037,COLUMN_PATH_ALIGNMENT,/data1/qujh/OpenRAM/compiler/modules/column_mux_array.py,column_mux_array.setup_layout_constants,L98:self.route_height = (self.words_per_row + 3) * self.sel_pitch,Column mux array reserves routing height proportional to words-per-row for select rails and output joins.,OpenYield C3/C4 must allocate real routing channels instead of overlay rectangles.,True,False,"PLACEHOLDER_VISUAL_GEOMETRY,CONTRACT_ROUTE",C3/C4,SOURCE_BACKED
SRC_038,BITLINE_ROUTING,/data1/qujh/OpenRAM/compiler/modules/column_mux_array.py,column_mux_array.route_bitlines,"L210:self.add_layout_pin_segment_center(text=""bl_out_{}"".format(int(j / self.words_per_row)),",Mux outputs are formed by actual merged BL/BR output rails and via stacks across the grouped columns.,OpenYield needs true mux-output ownership instead of per-consumer duplicated BL/BR rectangles.,True,False,"CONTRACT_ROUTE,PLACEHOLDER_VISUAL_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_039,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/column_mux_array.py,column_mux_array.add_horizontal_input_rail,"L163:self.add_layout_pin(text=""sel_{}"".format(j),",Column-select controls are distributed on dedicated horizontal rails under the mux array.,"OpenYield control routing must use organized channel rails, not one large area fill.",True,False,"CONTRACT_ROUTE,PLACEHOLDER_VISUAL_GEOMETRY",C3/C4,SOURCE_BACKED
SRC_040,GDS_PRIMITIVE_API,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,copy_layout_pin,"L647:self.add_layout_pin(new_name,","Top-level pins are propagated by copying actual child pin shapes, preserving layer, width, and height.",OpenYield pin export must stay geometry-backed all the way up the hierarchy.,True,False,"MISSING_TOP_PIN_GEOMETRY,MISSING_PIN_GEOMETRY",C2/C6,SOURCE_BACKED
SRC_041,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,add_layout_pin_segment_center,L1058:Creates a path like pin with center-line convention,"A real exported pin can be a routed segment with explicit layer and bbox, not just a text label.",This defines the minimum geometry-backed pin requirement for C2/C4/C5/C6.,True,False,"MISSING_PIN_GEOMETRY,MISSING_TOP_PIN_GEOMETRY",C2/C6,SOURCE_BACKED
SRC_042,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,replace_layout_pin,L1122:Remove the old pin and replace with a new one,Escape/perimeter pin relocation keeps the old geometry as wiring and replaces only the exported pin object.,OpenYield top-pin cleanup must distinguish internal route geometry from final external pin placement.,True,False,"MISSING_TOP_PIN_GEOMETRY,PLACEHOLDER_VISUAL_GEOMETRY",C4/C6,SOURCE_BACKED
SRC_043,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,add_label_pin,PATTERN_NOT_FOUND,Label-only correspondence points are explicitly distinguished from actual layout pins.,OpenYield must not treat label-only pins as sufficient evidence for complete GDS.,True,False,MISSING_PIN_GEOMETRY,C2/C6,NOT_FOUND
SRC_044,HIERARCHY_EXPORT,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,gds_write,PATTERN_NOT_FOUND,GDS export occurs from the assembled layout hierarchy after geometry and pin maps are finalized.,OpenYield complete-GDS claim must come only after geometry hierarchy is physically assembled.,True,False,"GDS_HIERARCHY,VALIDATION",C6,NOT_FOUND
SRC_045,VALIDATION,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,add_boundary,PATTERN_NOT_FOUND,Physical macros include an explicit boundary shape tied to the final extents of real geometry.,"OpenYield macro bbox should follow actual assembled geometry, not placeholder extents.",True,False,PLACEHOLDER_VISUAL_GEOMETRY,C3/C6,NOT_FOUND
SRC_046,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,copy_power_pins,PATTERN_NOT_FOUND,Power export can be copied from instance pin geometry before any higher-level stitching is added.,This is the baseline for geometry-backed VDD/GND pin ownership in C2/C5.,True,False,"CONTRACT_POWER_STITCH,MISSING_PIN_GEOMETRY",C2/C5,NOT_FOUND
SRC_047,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py,add_io_pin,PATTERN_NOT_FOUND,Top IO pins are derived from real instance pins and optionally escape-routed upward through specified layer stacks.,"OpenYield top IO must be backed by internal geometry and routed escape, not map-only entries.",True,False,"MISSING_TOP_PIN_GEOMETRY,CONTRACT_ROUTE",C4/C6,NOT_FOUND
SRC_048,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,place_control,L876:# The delay line is aligned with the bitcell array while the control logic is aligned with the port_data,Control logic and delay chain placement are explicitly aligned against bank array geometry rather than free-placed.,OpenYield control region must be organized relative to array edges and replica timing structures.,True,False,"FLOORPLAN_NOT_SRAM_LIKE,CONTRACT_ROUTE",C3,SOURCE_BACKED
SRC_049,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,route_clk,"L1220:# This is something like a ""spine"" clock distribution. The two spines",Clock distribution is implemented as explicit spine routing from control logic to DFF clusters.,"OpenYield clk/gated_clk should become explicit routed spines, not contract boxes.",True,False,"CONTRACT_ROUTE,PLACEHOLDER_VISUAL_GEOMETRY",C4,SOURCE_BACKED
SRC_050,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,route_control_logic,"L1280:self.connect_vbus(src_pin, dest_pin)","Non-clock control signals are routed from control logic to bank on explicit vertical buses, while replica-bitline feedback uses a dedicated m3/m4 route.",OpenYield control paths need net-specific geometry and bus ownership.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_051,CONTROL_ROUTING,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,route_row_addr_dff,"L1312:self.add_path(""m3"", [flop_pos, mid_pos])",Address flops connect to bank row-address inputs with explicit intermediate metal and via stacks.,Address routing in OpenYield must be geometry-backed up to decoder inputs.,True,False,"CONTRACT_ROUTE,MISSING_PIN_GEOMETRY",C2/C4,SOURCE_BACKED
SRC_052,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,add_layout_pins,"L1002:self.add_io_pin(self.control_logic_insts[port],","Top-level addr/din/dout/control/spare pins are exported from specific child instances, not synthesized in isolation.",This is the physical precedent for OpenYield top-pin export in C4/C6.,True,False,MISSING_TOP_PIN_GEOMETRY,C4/C6,SOURCE_BACKED
SRC_053,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,route_escape_pins,L368:rtr.route(pins_to_route),"Perimeter pin escape routing is a dedicated post-placement routing step, not a byproduct of block placement.",OpenYield top-level pin placement and escape must be explicit in C4/C6.,True,False,"MISSING_TOP_PIN_GEOMETRY,CONTRACT_ROUTE",C4/C6,SOURCE_BACKED
SRC_054,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py,route_layout,L1079:if OPTS.route_supplies:,Top-level supply routing is a distinct stage after signal geometry and top pins have been materialized.,OpenYield should do C5 after C4 geometry exists so strap stitching lands on real shapes.,True,False,"CONTRACT_POWER_STITCH,APPROXIMATE_POWER_GEOMETRY",C5,SOURCE_BACKED
SRC_055,POWER_ROUTING,/data1/qujh/OpenRAM/compiler/router/supply_router.py,supply_router.route,L54:# Add side pins,Supply routing can add side pins or rings and then route true pin sets through a graph-based path search.,OpenYield top-level power pins and straps should be driven by actual rail targets.,True,True,"CONTRACT_POWER_STITCH,APPROXIMATE_POWER_GEOMETRY",C5,SOURCE_BACKED
SRC_056,PIN_LABEL_EXPORT,/data1/qujh/OpenRAM/compiler/router/signal_escape_router.py,signal_escape_router.route,L79:self.replace_layout_pins(),Signal escape routing replaces original IO pins with perimeter-exported geometry only after successful routed escape.,Top pin geometry in OpenYield must reflect routed escape endpoints.,True,True,"MISSING_TOP_PIN_GEOMETRY,CONTRACT_ROUTE",C4/C6,SOURCE_BACKED
SRC_057,VALIDATION,/data1/qujh/OpenRAM/compiler/base/channel_route.py,channel_route,PATTERN_NOT_FOUND,"Structured channel routing is aware of pin conflicts, preferred directions, and track pitch rather than drawing a single placeholder rectangle.",OpenYield signal channels need geometry-aware routing ownership in C4.,True,True,"PLACEHOLDER_VISUAL_GEOMETRY,CONTRACT_ROUTE",C4,NOT_FOUND
SRC_058,VALIDATION,compiler/modules/decoder.py,decoder,NOT_FOUND,Requested decoder.py file is not present in this OpenRAM checkout; decoder behavior is likely provided by other modules such as hierarchical_decoder.,The audit must explicitly mark missing source references instead of inferring behavior from absent files.,False,True,VALIDATION,C1,NOT_FOUND
