logical_module,source_class,source_file,source_parameters,nmos_width,pmos_width,length,drive_scale,stage_count,loads_per_stage,pin_order,power_pins,input_pins,output_pins,expected_child_modules,expected_child_count,parameter_dependencies,required_generator_level,candidate_existing_generator,candidate_existing_generator_path,adapter_required,fixed_or_parameterized,must_generate_distinct_variant,expected_physical_cell_name,expected_cell_height_policy,expected_rail_policy,expected_pin_access_policy,expected_orientation_policy,generation_priority,blocking_dependencies
PINV_wl_en_bar,PINV_wl_en_bar,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,source-traced,0.09e-6,0.27e-6,0.05e-6,1,,,VDD|VSS|A|Z,VDD|VSS,A,Z,NMOS_VTG|PMOS_VTG,source-traced per generated subcircuit graph,source-traced,PRIMITIVE_GATE,OpenRAM pinv,/data1/qujh/OpenRAM/compiler/modules/pinv.py,True,FIXED_OR_ADAPTED,False,PINV_WL_EN_BAR,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Separate traceable alias
PNAND2,PNAND2,sram_compiler/subcircuits/standard_cell.py,"nmos_width,pmos_width,length",0.18e-6,0.27e-6,0.05e-6,fixed,,,VDD|VSS|A|B|Z,VDD|VSS,A|B,Z,NMOS_VTG|PMOS_VTG,per AND2 decomposition or latch/driver decomposition,"nmos_width,pmos_width,length",PRIMITIVE_GATE,No trusted parameterized NAND generator in current repo,,True,PARAMETERIZED,True,PNAND2,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Need adapter or new implementation
PNAND3,PNAND3,sram_compiler/subcircuits/standard_cell.py,"nmos_width,pmos_width,length",0.27e-6,0.27e-6,0.05e-6,fixed,,,VDD|VSS|A|B|C|Z,VDD|VSS,A|B|C,Z,NMOS_VTG|PMOS_VTG,per AND3 decomposition plus PRE_UNBUF in TIME,"nmos_width,pmos_width,length",PRIMITIVE_GATE,No trusted parameterized NAND generator in current repo,,True,PARAMETERIZED,True,PNAND3,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Need adapter or new implementation
TRANSMISSION_GATE,TransmissionGate,sram_compiler/subcircuits/time_generate.py,source-traced,0.25e-6,0.50e-6,0.05e-6,fixed,,,VDD|VSS|IN|OUT|CTR_P|CTR_N,VDD|VSS,IN|CTR_P|CTR_N,OUT,NMOS_VTG|PMOS_VTG,4 per DFF template,source-traced,PRIMITIVE_GATE,OpenRAM ptx pair + contact composition,/data1/qujh/OpenRAM/compiler/modules/ptx.py,True,PARAMETERIZED,True,TRANSMISSION_GATE,row-compatible,M1 rails,edge-access pins,fixed row orientation,P0_REQUIRED_FIRST,Compose NMOS+PMOS with shared control pins
AND2,AND2,sram_compiler/subcircuits/standard_cell.py,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",,,0.05e-6,,,,VDD|VSS|A|B|Z,VDD|VSS,A|B,Z,PINV|PNAND2,2 in TIME for gated clocks plus decoder-side uses outside TIME closure,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",PRIMITIVE_GATE,Composite from PNAND2+PINV,,True,FIXED_OR_ADAPTED,False,AND2,row-compatible,M1 rails,edge-access pins,fixed row orientation,P1_REQUIRED_FOR_DFF,Composite after NAND/INV lock
AND3,AND3,sram_compiler/subcircuits/standard_cell.py,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",,,0.05e-6,,,,VDD|VSS|A|B|C|Z,VDD|VSS,A|B|C,Z,PINV|PNAND3,2 in TIME for w_en and s_en,"nand_pmos_width,nand_nmos_width,inv_pmos_width,inv_nmos_width,length,w_rc",PRIMITIVE_GATE,Composite from PNAND3+PINV,,True,FIXED_OR_ADAPTED,False,AND3,row-compatible,M1 rails,edge-access pins,fixed row orientation,P1_REQUIRED_FOR_DFF,Composite after NAND/INV lock
DFF,dff,sram_compiler/subcircuits/time_generate.py,"length,nmos_model,pmos_model",,,0.05e-6,,,,VDD|VSS|D|Q|CLK,VDD|VSS,D|CLK,Q,PINV1|TRANSMISSION_GATE,"ceil(log2(num_rows)) + (num_cols if operation in {write, read&write} else 0) + 1 template in each DFF_BUF","length,nmos_model,pmos_model",SEQUENTIAL_CELL,Reference-only today,,True,PARAMETERIZED,True,DFF,row-compatible,M1 rails,edge-access pins,fixed row orientation,P1_REQUIRED_FOR_DFF,Requires transistor-level contract beyond wrapper
DFF_BUF,DFF_BUF,sram_compiler/subcircuits/time_generate.py,"length,nmos_model,pmos_model",,,0.05e-6,,,,VDD|VSS|D|Q|QB|CLK,VDD|VSS,D|CLK,Q|QB,DFF|PINV1|PINV2,2 in TIME for cs/web register capture,"length,nmos_model,pmos_model",SEQUENTIAL_CELL,Composite from DFF+PINV1+PINV2,,True,PARAMETERIZED,True,DFF_BUF,row-compatible,M1 rails,edge-access pins,fixed row orientation,P1_REQUIRED_FOR_DFF,Requires DFF and inverter variants
ADDR_DFF,ADDR_DFF,sram_compiler/subcircuits/time_generate.py,"num_rows,length,nmos_model,pmos_model",,,0.05e-6,,,,VDD|VSS|CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,VDD|VSS,CLK|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3,,DFF,1,"num_rows,length,nmos_model,pmos_model",SEQUENTIAL_CELL,Composite from DFF rows,,True,FIXED_OR_ADAPTED,False,ADDR_DFF,row-compatible,M1 rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,Depends on DFF implementation
DATA_DFF,DATA_DFF,sram_compiler/subcircuits/time_generate.py,"num_cols,operation,length,nmos_model,pmos_model",,,0.05e-6,,,,VDD|VSS|CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15,VDD|VSS,CLK|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15,,DFF,"1 if operation in {write, read&write} else 0","num_cols,operation,length,nmos_model,pmos_model",SEQUENTIAL_CELL,Composite from DFF rows,,True,PARAMETERIZED,True,DATA_DFF,row-compatible,M1 rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,Depends on DFF implementation and operation topology
pdrive,pdrive,sram_compiler/subcircuits/time_generate.py,"drive_scale,length,nmos_model,pmos_model",0.25e-6,0.50e-6,0.05e-6,parameterized,4,,VDD|VSS|A|Z,VDD|VSS,A,Z,PINV1|PINV2|PINV3|PINV4,1 with clk_dff_count/ref_dff_count drive scaling,"drive_scale,length,nmos_model,pmos_model",BUFFER_CHAIN,Composite from PINV1-4,,True,PARAMETERIZED,True,PDRIVE,row-compatible,M1 rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,Needs four locked inverter variants
pdrive2_for_pre,pdrive2_for_pre,sram_compiler/subcircuits/time_generate.py,"drive_scale,length,nmos_model,pmos_model",0.25e-6,0.50e-6,0.05e-6,parameterized,2,,VDD|VSS|A|Z,VDD|VSS,A,Z,PINV1|PINV2,1 with pre_drive_scale derived from rows and cols,"drive_scale,length,nmos_model,pmos_model",BUFFER_CHAIN,Composite from PINV1-2,,True,PARAMETERIZED,True,PDRIVE2_FOR_PRE,row-compatible,M1 rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,Needs drive-scale-aware variants
wl_pdrive,wl_pdrive,sram_compiler/subcircuits/time_generate.py,"length,nmos_model,pmos_model",0.25e-6,0.50e-6,0.05e-6,fixed,2,,VDD|VSS|A|Z,VDD|VSS,A,Z,PINV1|PINV2,1,"length,nmos_model,pmos_model",BUFFER_CHAIN,Composite from PINV1-2,,True,FIXED_OR_ADAPTED,False,WL_PDRIVE,row-compatible,M1 rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,Needs drive-scale-aware variants
delay_chain,DelayChain,sram_compiler/subcircuits/time_generate.py,"length,nmos_model,pmos_model",0.25e-6,0.50e-6,0.05e-6,fixed,,,VDD|VSS|in|out,VDD|VSS,in,out,PINV1,1,"length,nmos_model,pmos_model",DELAY_CHAIN,Fixed candidate exists but generator plan missing,,True,PARAMETERIZED,True,DELAY_CHAIN,row-compatible,M1 rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,Need scalable delay chain after PINV lock
WenDelayChain,WenDelayChain,sram_compiler/subcircuits/time_generate.py,length|delay_chain_stages|loads_per_stage,0.25e-6,0.50e-6,0.05e-6,,variable,variable,VDD|VSS|in|out,VDD|VSS,in,out,PINV1,variable,delay_chain_stages|loads_per_stage|operation,DELAY_CHAIN,No trusted generator yet,,True,PARAMETERIZED,True,WEN_DELAY_CHAIN_ST{stage_count},row-compatible,abuttable rails,edge-access pins,fixed row orientation,P2_REQUIRED_FOR_CONTROL_PATH,delay_chain_stage_contract
