module_name,source_file,source_class,parent_module,pin_order,pin_roles,instance_count,instance_count_formula,parameter_dependencies,operation_dependencies,row_dependencies,column_dependencies,drive_scale_dependencies,child_modules,consumer_modules,control_signals_generated
PINV3,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV3,pdrive,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,1,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,pdrive,
PINV4,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV4,pdrive,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,1,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,pdrive,
PINV_wl_en_bar,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV_wl_en_bar,TIME,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,1,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,TIME,
PMOS_VTG,,PMOS_VTG,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|PRECHARGE|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,,,63,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|PRECHARGE|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,
PNAND2,sram_compiler/subcircuits/standard_cell.py,PNAND2,AND2|D_LATCH|WORDLINEDRIVER,VDD|VSS|A|B|Z,power|ground|address_or_address_reg|signal|signal,8,per AND2 decomposition or latch/driver decomposition,"nmos_width,pmos_width,length",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,AND2|D_LATCH|WORDLINEDRIVER,
PNAND3,sram_compiler/subcircuits/standard_cell.py,PNAND3,AND3|TIME,VDD|VSS|A|B|C|Z,power|ground|address_or_address_reg|signal|signal|signal,3,per AND3 decomposition plus PRE_UNBUF in TIME,"nmos_width,pmos_width,length",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,AND3|TIME,
TIME,sram_compiler/subcircuits/time_generate.py,TIME,OPENYIELD_SRAM_TOP_V1,VDD|VSS|clk|csb|web|clk_buf|clk_bar|cs_bar|cs|we_bar|we|gated_clk_bar|gated_clk_buf|wl_en|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15|rbl|rbl_delay|rbl_delay_bar|s_en|w_en|PRE,power|ground|clock|control|control|signal|signal|control|control|control|control|control|control|control|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|address_or_address_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|data_or_data_reg|replica_delay|replica_delay|replica_delay|control|control|control,1,1,"num_rows,num_cols,operation,w_rc,length,nmos_model,pmos_model",pin set expands in write/read&write via DIN/DIN_dff,depends on num_rows or address_width=ceil(log2(num_rows)),depends on num_cols or derived scaling,none,ADDR_DFF|AND2|AND3|DATA_DFF|DFF_BUF|PINV|PINV_wl_en_bar|PNAND3|delay_chain|pdrive|pdrive2_for_pre|wl_pdrive,OPENYIELD_SRAM_TOP_V1,csb|web|clk_buf|clk_bar|cs_bar|cs|we_bar|we|gated_clk_bar|gated_clk_buf|wl_en|A_dff0|A_dff1|A_dff2|A_dff3|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15|rbl_delay|rbl_delay_bar|s_en|w_en|PRE
TRANSMISSION_GATE,sram_compiler/subcircuits/time_generate.py,TransmissionGate,DFF,VDD|VSS|IN|OUT|CTR_P|CTR_N,power|ground|signal|signal|signal|signal,12,4 per DFF template,source-traced,none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,NMOS_VTG|PMOS_VTG,DFF,
delay_chain,sram_compiler/subcircuits/time_generate.py,DelayChain,TIME,VDD|VSS|in|out,power|ground|signal|signal,1,1,"length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,PINV1,TIME,
pdrive,sram_compiler/subcircuits/time_generate.py,pdrive,TIME,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,1,1 with clk_dff_count/ref_dff_count drive scaling,"drive_scale,length,nmos_model,pmos_model",sizing depends on write-capable data path width,none or indirect via parent topology,depends on num_cols or derived scaling,"clk_drive_scale=max(1, clk_dff_count/ref_dff_count)",PINV1|PINV2|PINV3|PINV4,TIME,
pdrive2_for_pre,sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,TIME,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,1,1 with pre_drive_scale derived from rows and cols,"drive_scale,length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,depends on num_rows or address_width=ceil(log2(num_rows)),depends on num_cols or derived scaling,"pre_drive_scale=max(1, ceil(((num_cols+1)/65)*max(0.5,num_rows/16)))",PINV1|PINV2,TIME,
wl_pdrive,sram_compiler/subcircuits/time_generate.py,wl_pdrive,TIME,VDD|VSS|A|Z,power|ground|address_or_address_reg|signal,1,1,"length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,none or indirect via parent topology,none or indirect via parent topology,none,PINV1|PINV2,TIME,
