logical_module,source_file,source_class,parent_path,logical_function,pin_names,pin_count,instance_count_or_formula,parameter_dependencies,operation_dependencies,existing_openyield_gds_found,existing_openyield_gds_path,existing_layoutgen_cell_found,existing_layoutgen_cell_name,existing_openram_reference_found,existing_openram_cell_or_region,bbox_metadata_available,pin_geometry_available,power_rail_metadata_available,layer_metadata_available,physical_strategy,physical_readiness,blocking_reason,recommended_action,requires_human_review
PINV3,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV3,pdrive,source-traced control-logic support block,VDD|VSS|A|Z,4,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_inv,False,,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
PINV4,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV4,pdrive,source-traced control-logic support block,VDD|VSS|A|Z,4,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_inv,False,,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
PINV_wl_en_bar,sram_compiler/testbenches/sram_6t_core_testbench.py::Sram6TCoreTestbench.create_testbench,PINV_wl_en_bar,TIME,source-traced control-logic support block,VDD|VSS|A|Z,4,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_inv,False,,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
PMOS_VTG,,PMOS_VTG,PINV|PINV1|PINV2|PINV3|PINV4|PINV_wl_en_bar|PNAND2|PNAND3|PRECHARGE|Replica_CELL|SENSEAMP|SRAM_6T_CELL|TRANSMISSION_GATE|WRITEDRIVER,source-traced control-logic support block,,0,source-traced per generated subcircuit graph,source-traced,none for current V1 unless parent TIME enables write data path,False,,False,,False,,False,False,False,False,UNKNOWN,UNKNOWN,No trustworthy physical implementation source was found.,Keep this block in the missing/unknown set until a primitive or candidate source is qualified.,False
PNAND2,sram_compiler/subcircuits/standard_cell.py,PNAND2,AND2|D_LATCH|WORDLINEDRIVER,2-input NAND primitive,VDD|VSS|A|B|Z,5,per AND2 decomposition or latch/driver decomposition,"nmos_width,pmos_width,length",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,True,gen_nand2,True,decoder primitive gates,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
PNAND3,sram_compiler/subcircuits/standard_cell.py,PNAND3,AND3|TIME,3-input NAND primitive,VDD|VSS|A|B|C|Z,6,per AND3 decomposition plus PRE_UNBUF in TIME,"nmos_width,pmos_width,length",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,True,gen_nand4,True,decoder primitive gates,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
TIME,sram_compiler/subcircuits/time_generate.py,TIME,OPENYIELD_SRAM_TOP_V1,top-level SRAM control timing generator,VDD|VSS|clk|csb|web|clk_buf|clk_bar|cs_bar|cs|we_bar|we|gated_clk_bar|gated_clk_buf|wl_en|A0|A1|A2|A3|A_dff0|A_dff1|A_dff2|A_dff3|DIN0|DIN1|DIN2|DIN3|DIN4|DIN5|DIN6|DIN7|DIN8|DIN9|DIN10|DIN11|DIN12|DIN13|DIN14|DIN15|DIN_dff0|DIN_dff1|DIN_dff2|DIN_dff3|DIN_dff4|DIN_dff5|DIN_dff6|DIN_dff7|DIN_dff8|DIN_dff9|DIN_dff10|DIN_dff11|DIN_dff12|DIN_dff13|DIN_dff14|DIN_dff15|rbl|rbl_delay|rbl_delay_bar|s_en|w_en|PRE,60,1,"num_rows,num_cols,operation,w_rc,length,nmos_model,pmos_model",pin set expands in write/read&write via DIN/DIN_dff,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/CONTROL_LOGIC/CONTROL_LOGIC.gds,False,,True,control_logic_rw,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,PARTIAL_METADATA_ONLY,Only an OpenYield candidate composite is present; it is not yet proven as a final reusable implementation.,Audit candidate GDS metadata and confirm whether a primitive-backed implementation can be qualified or must be regenerated.,False
TRANSMISSION_GATE,sram_compiler/subcircuits/time_generate.py,TransmissionGate,DFF,latch pass device primitive,VDD|VSS|IN|OUT|CTR_P|CTR_N,6,4 per DFF template,source-traced,none for current V1 unless parent TIME enables write data path,False,,False,,True,latch internals reference only,False,False,False,False,PARAMETERIZED_TRANSISTOR_LAYOUT_REQUIRED,MISSING,No standalone OpenYield candidate GDS or reusable layoutgen hardcell exists for this transistor-level primitive.,Plan a parameterized transistor-level primitive generator or a legal wrapper strategy before physical implementation.,False
delay_chain,sram_compiler/subcircuits/time_generate.py,DelayChain,TIME,replica bitline delay chain,VDD|VSS|in|out,4,1,"length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/DELAY_CHAIN/DELAY_CHAIN.gds,True,gen_delay_inv,True,control_logic_rw delay path,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
pdrive,sram_compiler/subcircuits/time_generate.py,pdrive,TIME,clock buffer chain,VDD|VSS|A|Z,4,1 with clk_dff_count/ref_dff_count drive scaling,"drive_scale,length,nmos_model,pmos_model",sizing depends on write-capable data path width,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/GATED_CLOCK_PATH/GATED_CLOCK_PATH.gds,False,,True,control_logic_rw gated clock path,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,PARTIAL_METADATA_ONLY,Only an OpenYield candidate composite is present; it is not yet proven as a final reusable implementation.,Audit candidate GDS metadata and confirm whether a primitive-backed implementation can be qualified or must be regenerated.,False
pdrive2_for_pre,sram_compiler/subcircuits/time_generate.py,pdrive2_for_pre,TIME,precharge buffer chain,VDD|VSS|A|Z,4,1 with pre_drive_scale derived from rows and cols,"drive_scale,length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH/PRECHARGE_ENABLE_PATH.gds,False,,True,control_logic_rw precharge enable path,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,PARTIAL_METADATA_ONLY,Only an OpenYield candidate composite is present; it is not yet proven as a final reusable implementation.,Audit candidate GDS metadata and confirm whether a primitive-backed implementation can be qualified or must be regenerated.,False
wl_pdrive,sram_compiler/subcircuits/time_generate.py,wl_pdrive,TIME,wordline enable buffer chain,VDD|VSS|A|Z,4,1,"length,nmos_model,pmos_model",none for current V1 unless parent TIME enables write data path,True,/data1/qujh/work/sram_layoutgen_step45_clean/outputs/openyield_module_gds/WORDLINE_ENABLE_PATH/WORDLINE_ENABLE_PATH.gds,True,gen_wl_driver,True,control_logic_rw wordline enable path,True,True,True,True,HIERARCHICAL_PRIMITIVE_COMPOSITION,READY_FOR_QUALIFICATION,Candidate GDS exists but still requires bbox/pin/rail qualification against the locked topology.,Run physical-library qualification on the existing candidate and base hardcells before any assembly claim.,False
