openyield_module,openyield_role,module_gds_path,generation_status,generation_strategy,bbox_width,bbox_height,pin_count,rail_status,contract_pin_used,candidate_geometry_used,golden_target_cell_or_region,golden_match_status,bbox_compatible,pin_compatible,rail_compatible,pitch_compatible,layer_compatible,floorplan_safe,placement_safe,routing_safe,power_safe,decision,decision_reason,first_substitution_priority,requires_M11B_metadata_extraction,requires_wrapper,requires_layoutgen_fallback,human_review_required
decoder_gate_cells,ROW_DECODER,outputs/openyield_module_gds/decoder_gate_cells/decoder_gate_cells.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,5.2825,3.045,5,candidate_row_rail_metadata_exported,True,True,row_decoder role instances,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
dummy_array,ARRAY_DUMMY,outputs/openyield_module_gds/dummy_array/dummy_array.gds,L3_GDS_GENERATED_WITH_CONTRACT_PINS,array_generator_with_l2_orientation_policy,3.58,6.26,5,module_boundary_rails_exported,True,False,dummy_cell_1rw,UNKNOWN_GOLDEN_REGION,False,False,True,True,True,False,False,False,False,CONSTRAINT_EXTRACTION_ONLY,"Module metadata is useful for bbox/pin/rail/pitch extraction, but contract pins, array sizing scope, or wrapper assumptions block direct substitution.",P1,True,False,False,True
precharge,COLUMN_PRECHARGE,outputs/openyield_module_gds/precharge/precharge.gds,L3_GDS_GENERATED_WITH_CONTRACT_PINS,hardmacro_wrapper_generator,0.785,1.42,5,hardmacro_wrapper_rail_metadata_exported,True,False,gen_precharge,EXACT_GOLDEN_CELL,True,False,True,True,True,True,True,False,True,CONSTRAINT_EXTRACTION_ONLY,"Module metadata is useful for bbox/pin/rail/pitch extraction, but contract pins, array sizing scope, or wrapper assumptions block direct substitution.",P1,True,False,False,True
replica_array,ARRAY_REPLICA,outputs/openyield_module_gds/replica_array/replica_array.gds,L3_GDS_GENERATED_WITH_CONTRACT_PINS,array_generator_with_l2_orientation_policy,1.79,7.68,6,module_boundary_rails_exported,True,False,replica_cell_1rw,UNKNOWN_GOLDEN_REGION,False,False,True,True,True,False,False,False,False,CONSTRAINT_EXTRACTION_ONLY,"Module metadata is useful for bbox/pin/rail/pitch extraction, but contract pins, array sizing scope, or wrapper assumptions block direct substitution.",P1,True,False,False,True
row_decoder,ROW_DECODER,outputs/openyield_module_gds/row_decoder/row_decoder.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,4.245,3.13,5,candidate_row_rail_metadata_exported,True,True,row_decoder role instances,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
sense_amp,SENSE_AMP,outputs/openyield_module_gds/sense_amp/sense_amp.gds,L3_GDS_GENERATED,hardmacro_wrapper_generator,0.775,6.01,6,hardmacro_wrapper_rail_metadata_exported,False,False,sense_amp,EXACT_GOLDEN_CELL,True,True,True,True,True,True,True,True,True,DIRECT_HARDMACRO_REPLACE,"Wrapper macro has a real golden leaf counterpart, non-contract pin geometry, and compatible rails/bbox for a guarded selective substitution trial.",P0,True,False,False,True
wordline_decoder,ROW_DECODER,outputs/openyield_module_gds/wordline_decoder/wordline_decoder.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,4.245,3.045,5,candidate_row_rail_metadata_exported,True,True,row_decoder role instances,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
wordline_driver,WORDLINE_DRIVER,outputs/openyield_module_gds/wordline_driver/wordline_driver.gds,L3_GDS_GENERATED,hardmacro_wrapper_generator,3.045,1.505,8,hardmacro_wrapper_rail_metadata_exported,False,False,gen_wl_driver,EXACT_GOLDEN_CELL,True,True,True,True,True,True,True,True,True,DIRECT_HARDMACRO_REPLACE,"Wrapper macro has a real golden leaf counterpart, non-contract pin geometry, and compatible rails/bbox for a guarded selective substitution trial.",P0,True,True,False,True
wordline_driver_gate_cells,WORDLINE_DRIVER,outputs/openyield_module_gds/wordline_driver_gate_cells/wordline_driver_gate_cells.gds,L3_GDS_GENERATED_CANDIDATE_GEOMETRY,gate_row_generator_with_L2_abutment_policy,2.8975,2.96,5,candidate_row_rail_metadata_exported,True,True,wordline_driver role instances,UNKNOWN_GOLDEN_REGION,False,False,False,False,False,False,False,False,False,SEMANTIC_REFERENCE_ONLY,Current flow still relies on layoutgen fallback or regenerated layoutgen composites for this role; module GDS remains semantic/reference evidence only.,P2,True,True,True,True
write_driver,WRITE_DRIVER,outputs/openyield_module_gds/write_driver/write_driver.gds,L3_GDS_GENERATED,hardmacro_wrapper_generator,0.84,4.175,6,hardmacro_wrapper_rail_metadata_exported,False,False,write_driver,EXACT_GOLDEN_CELL,True,True,True,True,True,True,True,True,True,DIRECT_HARDMACRO_REPLACE,"Wrapper macro has a real golden leaf counterpart, non-contract pin geometry, and compatible rails/bbox for a guarded selective substitution trial.",P0,True,False,False,True
