entry_id,net_name,net_category,shape_type,shape_bbox,layer_hint,approximation_type,affected_modules,why_approximate,blocks_complete_gds,required_fix_stage,recommended_fix
approx_040,clk,CONTROL,route_segment,"{'x0': 24.6325, 'y0': 10.0075, 'x1': 31.1825, 'y1': 30.415, 'width': 6.55, 'height': 20.4075}",M4_control_spine,BBOX_ONLY_ROUTE,"('DFF_ROW',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_041,gated_clk,CONTROL,route_segment,"{'x0': 22.92125, 'y0': 30.34, 'x1': 31.1825, 'y1': 30.415, 'width': 8.26125, 'height': 0.075}",M4_control_spine,BBOX_ONLY_ROUTE,"('DFF_ROW',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_042,rbl_delay,CONTROL,route_segment,"{'x0': 12.895, 'y0': 9.1825, 'x1': 30.53, 'y1': 26.95875, 'width': 17.635, 'height': 17.77625}",M4_control_spine,BBOX_ONLY_ROUTE,"('replica_array',)",Tighten control fanout and exact landing vias during R5 detailed connectivity review.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_043,VDD,POWER,power_segment,"{'x0': 0.79, 'y0': 32.23, 'x1': 37.9025, 'y1': 32.58, 'width': 37.1125, 'height': 0.35}",M5_power_strap,APPROXIMATE_POWER_GEOMETRY,"('bitcell_array', 'dummy_array', 'replica_array', 'row_decoder', 'wordline_decoder', 'decoder_gate_cells', 'wordline_driver', 'wordline_driver_gate_cells', 'precharge', 'column_mux', 'sense_amp', 'write_driver', 'CONTROL_LOGIC', 'DELAY_CHAIN', 'PRECHARGE_ENABLE_PATH', 'SENSE_ENABLE_PATH', 'WRITE_ENABLE_PATH', 'WORDLINE_ENABLE_PATH', 'GATED_CLOCK_PATH', 'DFF_ROW')",Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.,True,C3/C4/C5,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_044,GND,GROUND,power_segment,"{'x0': 0.79, 'y0': 6.35, 'x1': 37.9025, 'y1': 6.7, 'width': 37.1125, 'height': 0.35}",M5_power_strap,APPROXIMATE_POWER_GEOMETRY,"('bitcell_array', 'dummy_array', 'replica_array', 'row_decoder', 'wordline_decoder', 'decoder_gate_cells', 'wordline_driver', 'wordline_driver_gate_cells', 'precharge', 'column_mux', 'sense_amp', 'write_driver', 'CONTROL_LOGIC', 'DELAY_CHAIN', 'PRECHARGE_ENABLE_PATH', 'SENSE_ENABLE_PATH', 'WRITE_ENABLE_PATH', 'WORDLINE_ENABLE_PATH', 'GATED_CLOCK_PATH', 'DFF_ROW')",Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.,True,C3/C4/C5,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_045,VDD,POWER,power_segment,"{'x0': 12.0, 'y0': 14.14, 'x1': 15.58, 'y1': 14.26, 'width': 3.58, 'height': 0.12}",M4_region_rail,PROTOTYPE_ONLY_GEOMETRY,"('bitcell_array', 'dummy_array', 'replica_array')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_046,GND,GROUND,power_segment,"{'x0': 12.0, 'y0': 13.94, 'x1': 15.58, 'y1': 14.06, 'width': 3.58, 'height': 0.12}",M4_region_rail,PROTOTYPE_ONLY_GEOMETRY,"('bitcell_array', 'dummy_array', 'replica_array')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_047,VDD,POWER,power_segment,"{'x0': 0.79, 'y0': 23.36, 'x1': 6.0725, 'y1': 23.48, 'width': 5.2825, 'height': 0.12}",M4_region_rail,PROTOTYPE_ONLY_GEOMETRY,"('row_decoder', 'wordline_decoder', 'decoder_gate_cells', 'wordline_driver', 'wordline_driver_gate_cells')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_048,GND,GROUND,power_segment,"{'x0': 0.79, 'y0': 23.16, 'x1': 6.0725, 'y1': 23.28, 'width': 5.2825, 'height': 0.12}",M4_region_rail,PROTOTYPE_ONLY_GEOMETRY,"('row_decoder', 'wordline_decoder', 'decoder_gate_cells', 'wordline_driver', 'wordline_driver_gate_cells')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_049,VDD,POWER,power_segment,"{'x0': 12.0, 'y0': 21.715, 'x1': 15.525, 'y1': 21.835, 'width': 3.525, 'height': 0.12}",M4_region_rail,PROTOTYPE_ONLY_GEOMETRY,"('precharge', 'column_mux', 'sense_amp', 'write_driver')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_050,GND,GROUND,power_segment,"{'x0': 12.0, 'y0': 21.515, 'x1': 15.525, 'y1': 21.635, 'width': 3.525, 'height': 0.12}",M4_region_rail,PROTOTYPE_ONLY_GEOMETRY,"('precharge', 'column_mux', 'sense_amp', 'write_driver')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C2/C4,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_051,VDD,POWER,power_segment,"{'x0': 21.58, 'y0': 31.81, 'x1': 36.9025, 'y1': 31.93, 'width': 15.3225, 'height': 0.12}",M4_region_rail,LARGE_RECTANGLE_POWER_PLACEHOLDER,"('CONTROL_LOGIC', 'DELAY_CHAIN', 'PRECHARGE_ENABLE_PATH', 'SENSE_ENABLE_PATH', 'WRITE_ENABLE_PATH', 'WORDLINE_ENABLE_PATH', 'GATED_CLOCK_PATH', 'DFF_ROW')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C3/C4/C5,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
approx_052,GND,GROUND,power_segment,"{'x0': 21.58, 'y0': 31.61, 'x1': 36.9025, 'y1': 31.73, 'width': 15.3225, 'height': 0.12}",M4_region_rail,LARGE_RECTANGLE_POWER_PLACEHOLDER,"('CONTROL_LOGIC', 'DELAY_CHAIN', 'PRECHARGE_ENABLE_PATH', 'SENSE_ENABLE_PATH', 'WRITE_ENABLE_PATH', 'WORDLINE_ENABLE_PATH', 'GATED_CLOCK_PATH', 'DFF_ROW')",Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.,True,C3/C4/C5,Replace bbox-only stripe/strap with real pin-to-pin or rail-to-pin geometry.
