iteration,candidate,DRC_count,rules,root_cause,change,connectivity,foreign_net,power,Pin_access,area,route_length,Via_count
4,C0,195,summarized,L-corner min-width notches,single-layer M3 narrow router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
4,C1,68,summarized,L-corner min-width notches,single-layer M3 narrow router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
4,C2,72,summarized,L-corner min-width notches,single-layer M3 narrow router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
4,C3,101,summarized,L-corner min-width notches,single-layer M3 narrow router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
4,C4,69,summarized,L-corner min-width notches,single-layer M3 narrow router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
5,C0,146,summarized,multi-sink same-layer self interaction,M3 0.14um router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
5,C1,25,summarized,multi-sink same-layer self interaction,M3 0.14um router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
5,C2,15,summarized,multi-sink same-layer self interaction,M3 0.14um router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
5,C3,28,summarized,multi-sink same-layer self interaction,M3 0.14um router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
5,C4,18,summarized,multi-sink same-layer self interaction,M3 0.14um router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
6,C0,147,summarized,single-layer multi-sink density remains,KLayout Path router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
6,C1,26,summarized,single-layer multi-sink density remains,KLayout Path router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
6,C2,17,summarized,single-layer multi-sink density remains,KLayout Path router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
6,C3,31,summarized,single-layer multi-sink density remains,KLayout Path router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
6,C4,20,summarized,single-layer multi-sink density remains,KLayout Path router,not_final,not_final,not_final,not_final,see candidate gate,see candidate gate,0
7,C0,133,see lyrdb for final iteration,C2/C5 closed; C4 residual not selected,M3/M4/M5/M6 layer-palette router plus C5 timing variant,PASS,PASS,PASS,PASS,see candidate gate,see candidate gate,0
7,C1,16,see lyrdb for final iteration,C2/C5 closed; C4 residual not selected,M3/M4/M5/M6 layer-palette router plus C5 timing variant,PASS,PASS,PASS,PASS,see candidate gate,see candidate gate,0
7,C2,0,see lyrdb for final iteration,C2/C5 closed; C4 residual not selected,M3/M4/M5/M6 layer-palette router plus C5 timing variant,PASS,PASS,PASS,PASS,see candidate gate,see candidate gate,0
7,C3,21,see lyrdb for final iteration,C2/C5 closed; C4 residual not selected,M3/M4/M5/M6 layer-palette router plus C5 timing variant,PASS,PASS,PASS,PASS,see candidate gate,see candidate gate,0
7,C4,7,see lyrdb for final iteration,C2/C5 closed; C4 residual not selected,M3/M4/M5/M6 layer-palette router plus C5 timing variant,PASS,PASS,PASS,PASS,see candidate gate,see candidate gate,0
7,C5,0,see lyrdb for final iteration,C2/C5 closed; C4 residual not selected,M3/M4/M5/M6 layer-palette router plus C5 timing variant,PASS,PASS,PASS,PASS,see candidate gate,see candidate gate,0
