blocker_id,blocker_category,affected_net_or_module,c5_resolution_status,power_shape_id,power_status_after_C5,source_pin_status,target_pin_status,shape_verified_in_gds,blocks_complete_gds_after_C5,remaining_gap,next_required_action
BLK_079,CONTRACT_POWER_STITCH,VDD:precharge;column_mux;sense_amp;write_driver,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_080,CONTRACT_POWER_STITCH,GND:precharge;column_mux;sense_amp;write_driver,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_081,CONTRACT_POWER_STITCH,VDD:CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_082,CONTRACT_POWER_STITCH,GND:CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_127,MISSING_PIN_GEOMETRY,CONTROL_LOGIC:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_128,MISSING_PIN_GEOMETRY,DELAY_CHAIN:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_129,MISSING_PIN_GEOMETRY,DELAY_CHAIN:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_130,MISSING_PIN_GEOMETRY,DFF_ROW:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_131,MISSING_PIN_GEOMETRY,DFF_ROW:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_132,MISSING_PIN_GEOMETRY,GATED_CLOCK_PATH:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_133,MISSING_PIN_GEOMETRY,PRECHARGE_ENABLE_PATH:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_134,MISSING_PIN_GEOMETRY,PRECHARGE_ENABLE_PATH:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_135,MISSING_PIN_GEOMETRY,SENSE_ENABLE_PATH:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_136,MISSING_PIN_GEOMETRY,SENSE_ENABLE_PATH:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_137,MISSING_PIN_GEOMETRY,WRITE_ENABLE_PATH:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_138,MISSING_PIN_GEOMETRY,bitcell_array:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_139,MISSING_PIN_GEOMETRY,bitcell_array:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_140,MISSING_PIN_GEOMETRY,column_mux:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_141,MISSING_PIN_GEOMETRY,column_mux:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_142,MISSING_PIN_GEOMETRY,decoder_gate_cells:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_143,MISSING_PIN_GEOMETRY,decoder_gate_cells:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_144,MISSING_PIN_GEOMETRY,dummy_array:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_145,MISSING_PIN_GEOMETRY,dummy_array:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_146,MISSING_PIN_GEOMETRY,precharge:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_147,MISSING_PIN_GEOMETRY,replica_array:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_148,MISSING_PIN_GEOMETRY,row_decoder:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_149,MISSING_PIN_GEOMETRY,row_decoder:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_150,MISSING_PIN_GEOMETRY,wordline_decoder:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_151,MISSING_PIN_GEOMETRY,wordline_decoder:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_152,MISSING_PIN_GEOMETRY,wordline_driver_gate_cells:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_153,MISSING_PIN_GEOMETRY,wordline_driver_gate_cells:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_154,MISSING_PIN_GEOMETRY,wordline_driver:GND,RESOLVED,POWER_SHAPE_0002,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
BLK_155,MISSING_PIN_GEOMETRY,wordline_driver:VDD,RESOLVED,POWER_SHAPE_0001,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,GEOMETRY_POWER_STRAP,True,False,Power geometry resolved in C5. Remaining work is C6 validation only.,Carry resolved power geometry into C6 validation.
