module,required_primitives,ready_primitives,not_ready_primitives,all_primitives_ready,module_can_generate_standalone_gds_now,module_can_generate_top_level_gds_now,blocking_primitive_gaps,next_required_action,evidence_files
column_mux,column_mux,column_mux,,True,True,False,,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds
sense_amp,sense_amp,sense_amp,,True,True,False,,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/sense_amp.gds
write_driver,write_driver,write_driver,,True,True,False,,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/write_driver.gds
precharge,precharge_cell,,precharge_cell,True,False,False,precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds
DELAY_CHAIN,delay_inv,delay_inv,,True,True,False,,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds
PRECHARGE_ENABLE_PATH,enable_path_leaf_gate;nand3;buffer;precharge_cell,,buffer;enable_path_leaf_gate;nand3;precharge_cell,False,False,False,enable_path_leaf_gate:SPICE_ONLY_NEEDS_LAYOUT_GENERATOR;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;buffer:FALLBACK_ONLY;precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/stdcell.py::gen_inv chain;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds
SENSE_ENABLE_PATH,enable_path_leaf_gate;nand3;buffer,,buffer;enable_path_leaf_gate;nand3,False,False,False,enable_path_leaf_gate:SPICE_ONLY_NEEDS_LAYOUT_GENERATOR;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;buffer:FALLBACK_ONLY,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/stdcell.py::gen_inv chain
WRITE_ENABLE_PATH,enable_path_leaf_gate;nand3;delay_inv,delay_inv,enable_path_leaf_gate;nand3,False,False,False,enable_path_leaf_gate:SPICE_ONLY_NEEDS_LAYOUT_GENERATOR;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/mapping/openyield_control_path_semantic_contracts.csv;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds
WORDLINE_ENABLE_PATH,enable_path_leaf_gate;buffer;inv,inv,buffer;enable_path_leaf_gate,False,False,False,enable_path_leaf_gate:SPICE_ONLY_NEEDS_LAYOUT_GENERATOR;buffer:FALLBACK_ONLY,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/stdcell.py::gen_inv chain;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds
GATED_CLOCK_PATH,gated_clock_leaf_gate;dff_cell;and2;inv,dff_cell;inv,and2;gated_clock_leaf_gate,False,False,False,gated_clock_leaf_gate:SPICE_ONLY_NEEDS_LAYOUT_GENERATOR;and2:FALLBACK_ONLY,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/gated_clock_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/stdcell.py::gen_nand2 + gen_inv composition;technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds
DFF_ROW,dff_cell,dff_cell,,True,True,False,,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/dff.gds
CONTROL_LOGIC,control_logic_leaf_gate;dff_cell;delay_inv;buffer;nand3;and2;and3;inv,delay_inv;dff_cell;inv,and2;and3;buffer;control_logic_leaf_gate;nand3,False,False,False,control_logic_leaf_gate:SPICE_ONLY_NEEDS_LAYOUT_GENERATOR;buffer:FALLBACK_ONLY;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and2:FALLBACK_ONLY;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/dff_row_candidate_contract.inc;docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/mapping/openyield_time_control_decomposition_contract.json;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/stdcell.py::gen_inv chain;sram_layoutgen/stdcell.py::gen_nand2 + gen_inv composition;technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds
routing_semantics,bitcell;precharge_cell;column_mux;sense_amp;write_driver;wordline_driver,bitcell;column_mux;sense_amp;wordline_driver;write_driver,precharge_cell,True,False,False,precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/mux_and_sa.py;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/sram_6t_core.py;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/cell_1rw.gds;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds;technology/freepdk45/gds_lib/sense_amp.gds;technology/freepdk45/gds_lib/write_driver.gds
power_semantics,bitcell;dummy_cell;replica_cell;dff_cell;inv;nand2;delay_inv;precharge_cell;column_mux;sense_amp;write_driver;wordline_driver,bitcell;column_mux;delay_inv;dff_cell;dummy_cell;inv;nand2;replica_cell;sense_amp;wordline_driver;write_driver,precharge_cell,True,False,False,precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION,"Primitive inventory exists, but module still needs L2/L3 abutment or composition closure.",docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;docs/openyield_storage_pitch_audit_report.md;sram_compiler/subcircuits/dummy_row_or_column.py;sram_compiler/subcircuits/mux_and_sa.py;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/replica_column.py;sram_compiler/subcircuits/sram_6t_core.py;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/cell_1rw.gds;technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/gds_lib/dummy_cell_1rw.gds;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_nand2.gds;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds;technology/freepdk45/gds_lib/replica_cell_1rw.gds;technology/freepdk45/gds_lib/sense_amp.gds;technology/freepdk45/gds_lib/write_driver.gds
timing_semantics,dff_cell;delay_inv;buffer;nand3;and3;precharge_cell;sense_amp;write_driver;wordline_driver,delay_inv;dff_cell;sense_amp;wordline_driver;write_driver,and3;buffer;nand3;precharge_cell,False,False,False,buffer:FALLBACK_ONLY;nand3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;and3:SOURCE_ONLY_NEEDS_PHYSICAL_GENERATOR;precharge_cell:GDS_EXISTS_NEEDS_PIN_RAIL_EXTRACTION,Resolve primitive physical source or fallback first.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/candidate_spice/delay_chain_corner_placeholder.inc;docs/candidate_spice/delay_chain_measure.inc;docs/candidate_spice/delay_chain_measurement_refined_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;sram_compiler/subcircuits/precharge_and_write_driver.py;sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_compiler/subcircuits/wordline_driver.py;sram_layoutgen/stdcell.py::gen_inv chain;technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds;technology/freepdk45/gds_lib/sense_amp.gds;technology/freepdk45/gds_lib/write_driver.gds
