object_name,object_type,required_by_modules,physical_source_type,placement_class,placement_strategy,row_or_array_based,x_pitch_rule,y_pitch_rule,row_height_rule,array_pitch_rule,module_origin_rule,bbox_source,pin_source,rail_source,orientation_policy,requires_routing_channel,requires_power_channel,can_be_packed_in_row,can_be_packed_in_array,can_be_instantiated_as_macro,placement_rule_status,blocking_gap,next_required_action,evidence_files
and2,primitive,GATED_CLOCK_PATH;CONTROL_LOGIC,PYTHON_GENERATOR,PERIPHERAL_MACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/openyield_primitive_composition_library.json::and2;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_and2_from_nand2_inv,technology/freepdk45/openyield_primitive_composition_library.json::and2;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_and2_from_nand2_inv,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_nand2 + gen_inv composition;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
and3,primitive,row_decoder;wordline_decoder;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;CONTROL_LOGIC;gated_clock_leaf_gate;enable_path_leaf_gate;control_logic_leaf_gate,PYTHON_GENERATOR,PERIPHERAL_MACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/openyield_primitive_composition_library.json::and3;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_and3_from_nand3_inv,technology/freepdk45/openyield_primitive_composition_library.json::and3;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_and3_from_nand3_inv,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
or2,primitive,,MISSING,PERIPHERAL_MACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,,,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/evidence/L1_physical_primitive_gap_summary.md
or3,primitive,,MISSING,PERIPHERAL_MACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,,,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/evidence/L1_physical_primitive_gap_summary.md
buffer,primitive,WORDLINE_ENABLE_PATH;CONTROL_LOGIC;gated_clock_leaf_gate,PYTHON_GENERATOR,PERIPHERAL_MACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/openyield_primitive_composition_library.json::buffer;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_buffer_from_inv_chain,technology/freepdk45/openyield_primitive_composition_library.json::buffer;sram_layoutgen/openyield_adapter/primitive_composition_generators.py::compose_buffer_from_inv_chain,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_inv chain;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
precharge_cell,primitive,SRAM_TOP;BANK;precharge;replica_array;PRECHARGE_ENABLE_PATH;routing_semantics;power_semantics;timing_semantics,HARDMACRO_GDS,HARDMACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds; docs/evidence/L1_physical_primitive_gap_summary.md
dff_cell,primitive,SRAM_TOP;BANK;DFF_ROW;CONTROL_LOGIC;GATED_CLOCK_PATH;timing_semantics,EXISTING_GDS,GATE_ROW_CELL,gate_row_no_vertical_overlap_dff_policy,row,bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,leaf_bbox_height,not_array_based,row_origin_at_leftmost_cell_bbox,technology/freepdk45/gds_lib/dff.gds,technology/freepdk45/gds_lib/dff.gds,generated_pin_metadata_or_gds_audit,gate_row_r0_mx_standard_cell_policy,True,True,True,False,False,PLACEMENT_RULE_CLOSED,,Apply row packing contract during L3 module export.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/dff.gds; docs/evidence/L1_physical_primitive_gap_summary.md
sense_amp,primitive,SRAM_TOP;BANK;sense_amp;SENSE_ENABLE_PATH;routing_semantics;timing_semantics;power_semantics,EXISTING_GDS,HARDMACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/gds_lib/sense_amp.gds,technology/freepdk45/gds_lib/sense_amp.gds,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/sense_amp.gds; docs/evidence/L1_physical_primitive_gap_summary.md
write_driver,primitive,SRAM_TOP;BANK;write_driver;WRITE_ENABLE_PATH;routing_semantics;timing_semantics;power_semantics,EXISTING_GDS,HARDMACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/gds_lib/write_driver.gds,technology/freepdk45/gds_lib/write_driver.gds,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/write_driver.gds; docs/evidence/L1_physical_primitive_gap_summary.md
column_mux,primitive,SRAM_TOP;BANK;column_mux;routing_semantics;timing_semantics;power_semantics,HARDMACRO_GDS,HARDMACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds,technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds; docs/evidence/L1_physical_primitive_gap_summary.md
wordline_driver,primitive,SRAM_TOP;BANK;wordline_driver;wordline_driver_gate_cells;routing_semantics;timing_semantics;power_semantics,HARDMACRO_GDS,HARDMACRO,peripheral_hardmacro_row_handoff,row,macro_bbox_width_plus_optional_channel,macro_bbox_height_plus_optional_vertical_channel,macro_bbox_height,not_array_based,macro_origin_at_bbox_lower_left,technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,docs/openyield_hardcell_power_rail_continuity_report.json,hardmacro_r0_default_policy,True,True,False,False,True,PLACEMENT_RULE_CLOSED,,Use hardmacro boundary as-is and export module pins/rails in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds; docs/evidence/L1_physical_primitive_gap_summary.md
decoder_leaf_gate,primitive,row_decoder;decoder_gate_cells,PYTHON_GENERATOR,COMPOSITIONAL_GATE,composition_backed_gate_row_contract,row,composed_bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,composed_gate_row_height,not_array_based,row_origin_at_composition_bbox,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,gate_row_r0_mx_standard_cell_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Instantiate composed leafs under frozen row/rail contract in L3.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
wordline_decoder_leaf_gate,primitive,wordline_decoder,PYTHON_GENERATOR,COMPOSITIONAL_GATE,composition_backed_gate_row_contract,row,composed_bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,composed_gate_row_height,not_array_based,row_origin_at_composition_bbox,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,gate_row_r0_mx_standard_cell_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Instantiate composed leafs under frozen row/rail contract in L3.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;sram_compiler/subcircuits/decoder.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
wordline_driver_leaf_gate,primitive,wordline_driver_gate_cells,PYTHON_GENERATOR,COMPOSITIONAL_GATE,composition_backed_gate_row_contract,row,composed_bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,composed_gate_row_height,not_array_based,row_origin_at_composition_bbox,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,gate_row_r0_mx_standard_cell_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Instantiate composed leafs under frozen row/rail contract in L3.,sram_compiler/subcircuits/wordline_driver.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_wl_driver;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
enable_path_leaf_gate,primitive,PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH,PYTHON_GENERATOR,COMPOSITIONAL_GATE,composition_backed_gate_row_contract,row,composed_bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,composed_gate_row_height,not_array_based,row_origin_at_composition_bbox,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,gate_row_r0_mx_standard_cell_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Instantiate composed leafs under frozen row/rail contract in L3.,docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
gated_clock_leaf_gate,primitive,GATED_CLOCK_PATH,PYTHON_GENERATOR,COMPOSITIONAL_GATE,composition_backed_gate_row_contract,row,composed_bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,composed_gate_row_height,not_array_based,row_origin_at_composition_bbox,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,gate_row_r0_mx_standard_cell_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Instantiate composed leafs under frozen row/rail contract in L3.,docs/candidate_spice/control_paths/gated_clock_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
control_logic_leaf_gate,primitive,CONTROL_LOGIC,PYTHON_GENERATOR,COMPOSITIONAL_GATE,composition_backed_gate_row_contract,row,composed_bbox_width_edge_touch_same_row,row_height_plus_optional_overlap_policy,composed_gate_row_height,not_array_based,row_origin_at_composition_bbox,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,technology/freepdk45/openyield_primitive_composition_library.json,gate_row_r0_mx_standard_cell_policy,True,True,True,False,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Instantiate composed leafs under frozen row/rail contract in L3.,docs/candidate_spice/control_paths/dff_row_candidate_contract.inc;docs/mapping/openyield_time_control_decomposition_contract.json;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/evidence/L1_physical_primitive_gap_summary.md
SRAM_TOP,module,SRAM_TOP,MODULE_FROM_L1_PRIMITIVE_GRAPH,TOP_LEVEL_MODULE,top_level_assembly_handoff_only,module,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,module_origin_at_exported_bbox_lower_left,docs/mapping/openyield_module_to_primitive_dependency_matrix.csv,docs/mapping/openyield_module_connection_matrix.csv,technology/freepdk45/openyield_L2_placement_abutment_rule_library.json,module_inherits_child_orientation_contracts,True,True,False,False,False,NOT_REQUIRED_FOR_CURRENT_SCOPE,,Defer to L4 assembly only.,sram_compiler/testbenches/sram_6t_core_testbench.py;main_sram.py;docs/mapping/openyield_canonical_sram_semantic_contract.md;docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_logical_to_openyield_parameter_map.csv;docs/mapping/openyield_top_bank_semantic_contract.md;docs/mapping/openyield_top_bank_semantic_contract.json; docs/openyield_physical_primitive_gap_closure_report.json
BANK,module,BANK,MODULE_FROM_L1_PRIMITIVE_GRAPH,TOP_LEVEL_MODULE,top_level_assembly_handoff_only,module,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,module_origin_at_exported_bbox_lower_left,docs/mapping/openyield_module_to_primitive_dependency_matrix.csv,docs/mapping/openyield_module_connection_matrix.csv,technology/freepdk45/openyield_L2_placement_abutment_rule_library.json,module_inherits_child_orientation_contracts,True,True,False,False,False,NOT_REQUIRED_FOR_CURRENT_SCOPE,,Defer to L4 assembly only.,sram_compiler/testbenches/sram_6t_core_testbench.py;docs/mapping/openyield_canonical_sram_semantic_contract.md;docs/mapping/openyield_canonical_sram_semantic_contract.json;docs/mapping/openyield_logical_to_openyield_parameter_map.csv;docs/mapping/openyield_top_bank_semantic_contract.md;docs/mapping/openyield_top_bank_semantic_contract.json; docs/openyield_physical_primitive_gap_closure_report.json
bitcell_array,module,bitcell_array,MODULE_FROM_L1_PRIMITIVE_GRAPH,TOP_LEVEL_MODULE,storage_array_bbox_pitch_with_row_alternation,module,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,module_origin_at_exported_bbox_lower_left,docs/mapping/openyield_module_to_primitive_dependency_matrix.csv,docs/mapping/openyield_module_connection_matrix.csv,technology/freepdk45/openyield_L2_placement_abutment_rule_library.json,module_inherits_child_orientation_contracts,False,True,False,True,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Use module handoff rule as the L3 placement boundary.,sram_compiler/subcircuits/sram_6t_core.py;docs/mapping/openyield_netlist_to_gds_readiness_matrix.csv; docs/openyield_physical_primitive_gap_closure_report.json
dummy_array,module,dummy_array,MODULE_FROM_L1_PRIMITIVE_GRAPH,TOP_LEVEL_MODULE,storage_array_bbox_pitch_with_row_alternation,module,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,derived_from_child_primitives,module_origin_at_exported_bbox_lower_left,docs/mapping/openyield_module_to_primitive_dependency_matrix.csv,docs/mapping/openyield_module_connection_matrix.csv,technology/freepdk45/openyield_L2_placement_abutment_rule_library.json,module_inherits_child_orientation_contracts,False,False,False,True,True,PLACEMENT_RULE_CLOSED_BY_CONTRACT,,Use module handoff rule as the L3 placement boundary.,sram_compiler/subcircuits/dummy_row_or_column.py;sram_compiler/testbenches/sram_6t_core_testbench.py; docs/openyield_physical_primitive_gap_closure_report.json
