object_name,object_type,left_right_abutment_allowed,top_bottom_abutment_allowed,same_row_gap_rule,between_row_gap_rule,same_row_abutment_pitch,between_row_pitch,orientation_pair_allowed,R0_R0_allowed,R0_MX_allowed,MX_R0_allowed,rail_alignment_required,rail_short_risk,pin_access_risk,requires_keepout,keepout_rule,abutment_rule_status,blocking_gap,next_required_action,evidence_files
and2,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_nand2 + gen_inv composition;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
and3,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
or2,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,docs/openyield_cell_rail_overlap_eligibility_report.json
or3,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,docs/openyield_cell_rail_overlap_eligibility_report.json
buffer,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED,,Apply frozen gate-row policy directly in L3.,sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_inv chain;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
precharge_cell,primitive,True,False,edge_touch_only_if_macro_bbox_and_pin_clearance_match; otherwise keep channel,separate_rows_with_routing_and_power_channel,macro_bbox_width_plus_optional_gap,macro_bbox_height_plus_routing_channel,R0_only,True,False,False,True,shared_rail_not_proven_across_hardmacro_boundaries,peripheral hardmacro pins need dedicated escape side,True,reserve periphery routing channel around macro,ABUTMENT_RULE_CLOSED,,Use perimeter routing channel around hardmacro rows in L3.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
dff_cell,primitive,True,False,0um_edge_touch_same_row,one_row_gap_or_separate_power_channel,bbox_width_edge_touch,row_height_plus_power_channel,same_row_R0_only_or_manual_review,True,False,False,True,vertical_overlap_not_proven_for_dff,clock_pin_requires_top_side_clearance,True,reserve_vertical_channel_between_dff_rows,ABUTMENT_RULE_CLOSED,,Honor no-vertical-overlap DFF policy in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/dff.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
sense_amp,primitive,False,False,edge_touch_only_if_macro_bbox_and_pin_clearance_match; otherwise keep channel,separate_rows_with_routing_and_power_channel,macro_bbox_width_plus_optional_gap,macro_bbox_height_plus_routing_channel,R0_only,True,False,False,True,shared_rail_not_proven_across_hardmacro_boundaries,peripheral hardmacro pins need dedicated escape side,True,reserve periphery routing channel around macro,ABUTMENT_RULE_CLOSED,,Use perimeter routing channel around hardmacro rows in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/sense_amp.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
write_driver,primitive,False,False,edge_touch_only_if_macro_bbox_and_pin_clearance_match; otherwise keep channel,separate_rows_with_routing_and_power_channel,macro_bbox_width_plus_optional_gap,macro_bbox_height_plus_routing_channel,R0_only,True,False,False,True,shared_rail_not_proven_across_hardmacro_boundaries,peripheral hardmacro pins need dedicated escape side,True,reserve periphery routing channel around macro,ABUTMENT_RULE_CLOSED,,Use perimeter routing channel around hardmacro rows in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/write_driver.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
column_mux,primitive,False,False,edge_touch_only_if_macro_bbox_and_pin_clearance_match; otherwise keep channel,separate_rows_with_routing_and_power_channel,macro_bbox_width_plus_optional_gap,macro_bbox_height_plus_routing_channel,R0_only,True,False,False,True,shared_rail_not_proven_across_hardmacro_boundaries,peripheral hardmacro pins need dedicated escape side,True,reserve periphery routing channel around macro,ABUTMENT_RULE_CLOSED,,Use perimeter routing channel around hardmacro rows in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_driver,primitive,False,False,edge_touch_only_if_macro_bbox_and_pin_clearance_match; otherwise keep channel,separate_rows_with_routing_and_power_channel,macro_bbox_width_plus_optional_gap,macro_bbox_height_plus_routing_channel,R0_only,True,False,False,True,shared_rail_not_proven_across_hardmacro_boundaries,peripheral hardmacro pins need dedicated escape side,True,reserve periphery routing channel around macro,ABUTMENT_RULE_CLOSED,,Use perimeter routing channel around hardmacro rows in L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
decoder_leaf_gate,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED_BY_CONTRACT,,Apply frozen gate-row policy directly in L3.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_decoder_leaf_gate,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED_BY_CONTRACT,,Apply frozen gate-row policy directly in L3.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;sram_compiler/subcircuits/decoder.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_driver_leaf_gate,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED_BY_CONTRACT,,Apply frozen gate-row policy directly in L3.,sram_compiler/subcircuits/wordline_driver.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_wl_driver;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
enable_path_leaf_gate,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED_BY_CONTRACT,,Apply frozen gate-row policy directly in L3.,docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
gated_clock_leaf_gate,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED_BY_CONTRACT,,Apply frozen gate-row policy directly in L3.,docs/candidate_spice/control_paths/gated_clock_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
control_logic_leaf_gate,primitive,True,True,0um_edge_touch_same_row,alternate_R0_MX_or_insert_channel_per_rail_policy,bbox_width_edge_touch,row_height_plus_optional_overlap_policy,R0_R0_same_row; R0_MX_cross_row,True,True,True,True,low_when_standard_cell_row_policy_is_preserved,low_with left/right signal escape and top/bottom rail reservation,False,none,ABUTMENT_RULE_CLOSED_BY_CONTRACT,,Apply frozen gate-row policy directly in L3.,docs/candidate_spice/control_paths/dff_row_candidate_contract.inc;docs/mapping/openyield_time_control_decomposition_contract.json;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
