check_area,net_or_module,category,status,geometry_available,uses_contract_pin,uses_approximate_geometry,affected_modules,evidence_file,blocks_R4,blocks_drc_clean,blocks_lvs_clean,next_required_action
bitline,BR[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[0],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[1],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[2],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BL[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;column_mux_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
bitline,BR[3],BITLINE,CONTRACT_PIN_BASED_ROUTE,True,True,False,bitcell_array_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/bitline_routing_report.json,False,True,True,Resolve exact bitline landing cuts against hardmacro wrapper pins during R5 connectivity tightening.
control,precharge_en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,CONTROL_LOGIC_inst;precharge_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
control,sense_en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,CONTROL_LOGIC_inst;sense_amp_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
control,write_en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,CONTROL_LOGIC_inst;write_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
control,wordline_en,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,CONTROL_LOGIC_inst;wordline_driver_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
control,clk,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,CONTROL_LOGIC_inst;DFF_ROW_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
control,gated_clk,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,GATED_CLOCK_PATH_inst;DFF_ROW_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
control,rbl_delay,CONTROL,CONTRACT_PIN_BASED_ROUTE,True,True,True,DELAY_CHAIN_inst;replica_array_inst,outputs/openyield_routing_power_pin/current_supported_config/control_routing_report.json,False,True,True,Tighten control fanout and exact landing vias during R5 detailed connectivity review.
power,VDD,POWER,APPROXIMATE_POWER_GEOMETRY_FOR_R4,True,True,True,bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.
power,GND,POWER,APPROXIMATE_POWER_GEOMETRY_FOR_R4,True,True,True,bitcell_array;dummy_array;replica_array;row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells;precharge;column_mux;sense_amp;write_driver;CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Promote top-level straps into explicit per-instance rail taps for R5 power continuity review.
power,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,bitcell_array;dummy_array;replica_array,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,bitcell_array;dummy_array;replica_array,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,row_decoder;wordline_decoder;decoder_gate_cells;wordline_driver;wordline_driver_gate_cells,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,precharge;column_mux;sense_amp;write_driver,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,precharge;column_mux;sense_amp;write_driver,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,VDD,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
power,GND,POWER,CONTRACT_RAIL_BASED_STITCH,True,True,True,CONTROL_LOGIC;DELAY_CHAIN;PRECHARGE_ENABLE_PATH;SENSE_ENABLE_PATH;WRITE_ENABLE_PATH;WORDLINE_ENABLE_PATH;GATED_CLOCK_PATH;DFF_ROW,outputs/openyield_routing_power_pin/current_supported_config/power_routing_report.json,False,True,True,Replace contract-backed rail stitch with exact abutment proof and via ladders in R5.
top_pin,A[0],ADDRESS,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,A[1],ADDRESS,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,A[2],ADDRESS,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,A[3],ADDRESS,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DIN[0],DATA_IN,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DOUT[0],DATA_OUT,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DIN[1],DATA_IN,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DOUT[1],DATA_OUT,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DIN[2],DATA_IN,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DOUT[2],DATA_OUT,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DIN[3],DATA_IN,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,DOUT[3],DATA_OUT,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,clk,CLOCK_CONTROL,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,csb,CLOCK_CONTROL,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,web,CLOCK_CONTROL,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,VDD,POWER,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
top_pin,GND,GROUND,GEOMETRY_PIN_EXPORTED_FOR_R4,True,False,False,SRAM_TOP,outputs/openyield_routing_power_pin/current_supported_config/top_pin_export_report.json,False,True,True,Refine pin metal enclosure and LEF-compatible obstruction context during R5 export preparation.
