object_name,object_type,allowed_orientations,default_orientation,row_alternation_policy,array_alternation_policy,recommended_policy,forbidden_policy,reason,cross_row_power_short_risk,pin_access_consideration,orientation_policy_status,blocking_gap,next_required_action,evidence_files
and2,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_nand2 + gen_inv composition;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
and3,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
or2,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/openyield_cell_rail_overlap_eligibility_report.json
or3,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/openyield_cell_rail_overlap_eligibility_report.json
buffer,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,sram_compiler/subcircuits/standard_cell.py;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_inv chain;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
precharge_cell,primitive,R0,R0,none,not_array_based,R0_single_macro_orientation,MX_without_explicit_pin_revalidation,Hardmacro side-specific pins and incomplete shared-rail proof make mirrored use unnecessarily risky in L2.,medium_if_mirrored_without rail proof,keep signal escape on observed macro pin sides,ORIENTATION_POLICY_CLOSED,,Use fixed macro orientation in L3 unless a dedicated mirror audit is added.,docs/candidate_spice/control_paths/precharge_candidate_contract.sp;docs/candidate_spice/control_paths/precharge_candidate_ngspice.sp;docs/candidate_spice/control_paths/precharge_smoke_ngspice.log;docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
dff_cell,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_R0_only_no_vertical_overlap,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED,,Carry orientation policy into row packer during L3.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/time_generate.py;technology/freepdk45/gds_lib/dff.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
sense_amp,primitive,R0,R0,none,not_array_based,R0_single_macro_orientation,MX_without_explicit_pin_revalidation,Hardmacro side-specific pins and incomplete shared-rail proof make mirrored use unnecessarily risky in L2.,medium_if_mirrored_without rail proof,keep signal escape on observed macro pin sides,ORIENTATION_POLICY_CLOSED,,Use fixed macro orientation in L3 unless a dedicated mirror audit is added.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/sense_amp.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
write_driver,primitive,R0,R0,none,not_array_based,R0_single_macro_orientation,MX_without_explicit_pin_revalidation,Hardmacro side-specific pins and incomplete shared-rail proof make mirrored use unnecessarily risky in L2.,medium_if_mirrored_without rail proof,keep signal escape on observed macro pin sides,ORIENTATION_POLICY_CLOSED,,Use fixed macro orientation in L3 unless a dedicated mirror audit is added.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/precharge_and_write_driver.py;technology/freepdk45/gds_lib/write_driver.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
column_mux,primitive,R0,R0,none,not_array_based,R0_single_macro_orientation,MX_without_explicit_pin_revalidation,Hardmacro side-specific pins and incomplete shared-rail proof make mirrored use unnecessarily risky in L2.,medium_if_mirrored_without rail proof,keep signal escape on observed macro pin sides,ORIENTATION_POLICY_CLOSED,,Use fixed macro orientation in L3 unless a dedicated mirror audit is added.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/mux_and_sa.py;technology/freepdk45/gds_lib/openyield_repaired/gen_col_mux_vdd_labeled.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_driver,primitive,R0,R0,none,not_array_based,R0_single_macro_orientation,MX_without_explicit_pin_revalidation,Hardmacro side-specific pins and incomplete shared-rail proof make mirrored use unnecessarily risky in L2.,medium_if_mirrored_without rail proof,keep signal escape on observed macro pin sides,ORIENTATION_POLICY_CLOSED,,Use fixed macro orientation in L3 unless a dedicated mirror audit is added.,docs/openyield_hardcell_power_rail_continuity_report.md;sram_compiler/subcircuits/wordline_driver.py;technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds; docs/openyield_cell_rail_overlap_eligibility_report.json
decoder_leaf_gate,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED_BY_CONTRACT,,Carry orientation policy into row packer during L3.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;sram_compiler/subcircuits/decoder.py;sram_compiler/subcircuits/standard_cell.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_decoder_leaf_gate,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED_BY_CONTRACT,,Carry orientation policy into row packer during L3.,docs/mapping/openyield_decoder_wordline_semantic_contract.json;docs/mapping/openyield_decoder_wordline_semantic_contract.md;sram_compiler/subcircuits/decoder.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
wordline_driver_leaf_gate,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED_BY_CONTRACT,,Carry orientation policy into row packer during L3.,sram_compiler/subcircuits/wordline_driver.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;sram_layoutgen/stdcell.py::gen_wl_driver;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
enable_path_leaf_gate,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED_BY_CONTRACT,,Carry orientation policy into row packer during L3.,docs/candidate_spice/control_paths/precharge_enable_candidate_tb.sp;docs/candidate_spice/control_paths/sense_enable_path_candidate_contract.inc;docs/candidate_spice/control_paths/wordline_enable_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
gated_clock_leaf_gate,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED_BY_CONTRACT,,Carry orientation policy into row packer during L3.,docs/candidate_spice/control_paths/gated_clock_path_candidate_contract.inc;docs/mapping/openyield_control_path_semantic_contracts.csv;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
control_logic_leaf_gate,primitive,"R0,MX",R0,same_row_abut_then_alternate_rows_R0_MX,not_array_based,same_row_abut_with_cross_row_R0_MX_alternation,arbitrary_mirroring_without_rail_alignment,Matches standard-cell row practice and the overlap/rail audits already available in repo.,low_if rail alignment policy is preserved,preserve left-right logic flow and reserve top/bottom for rails,ORIENTATION_POLICY_CLOSED_BY_CONTRACT,,Carry orientation policy into row packer during L3.,docs/candidate_spice/control_paths/dff_row_candidate_contract.inc;docs/mapping/openyield_time_control_decomposition_contract.json;sram_compiler/subcircuits/time_generate.py;sram_layoutgen/openyield_adapter/primitive_composition_generators.py;technology/freepdk45/openyield_primitive_composition_library.json; docs/openyield_cell_rail_overlap_eligibility_report.json
