blocker_id,blocker_category,affected_net_or_module,c4_resolution_status,route_id,route_status_after_C4,source_pin_status,target_pin_status,shape_verified_in_gds,blocks_complete_gds_after_C4,remaining_gap,next_required_action
BLK_021,CONTRACT_ROUTE,BL[2],RESOLVED,ROUTE_0021,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_022,CONTRACT_ROUTE,BL[2],RESOLVED,ROUTE_0021,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_023,CONTRACT_ROUTE,BL[2],RESOLVED,ROUTE_0021,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_024,CONTRACT_ROUTE,BL[2],RESOLVED,ROUTE_0021,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_025,CONTRACT_ROUTE,BR[2],RESOLVED,ROUTE_0022,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_026,CONTRACT_ROUTE,BR[2],RESOLVED,ROUTE_0022,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_027,CONTRACT_ROUTE,BR[2],RESOLVED,ROUTE_0022,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_028,CONTRACT_ROUTE,BR[2],RESOLVED,ROUTE_0022,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_029,CONTRACT_ROUTE,BL[3],RESOLVED,ROUTE_0029,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_030,CONTRACT_ROUTE,BL[3],RESOLVED,ROUTE_0029,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_031,CONTRACT_ROUTE,BL[3],RESOLVED,ROUTE_0029,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_032,CONTRACT_ROUTE,BL[3],RESOLVED,ROUTE_0029,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_033,CONTRACT_ROUTE,BR[3],RESOLVED,ROUTE_0030,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_034,CONTRACT_ROUTE,BR[3],RESOLVED,ROUTE_0030,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_035,CONTRACT_ROUTE,BR[3],RESOLVED,ROUTE_0030,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_036,CONTRACT_ROUTE,BR[3],RESOLVED,ROUTE_0030,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_037,CONTRACT_ROUTE,precharge_en,RESOLVED,ROUTE_0041,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_038,CONTRACT_ROUTE,sense_en,RESOLVED,ROUTE_0042,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_039,CONTRACT_ROUTE,write_en,RESOLVED,ROUTE_0043,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_040,CONTRACT_ROUTE,wordline_en,RESOLVED,ROUTE_0044,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_041,CONTRACT_ROUTE,clk,RESOLVED,ROUTE_0045,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_042,CONTRACT_ROUTE,gated_clk,RESOLVED,ROUTE_0046,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_043,CONTRACT_ROUTE,rbl_delay,RESOLVED,ROUTE_0047,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_044,PLACEHOLDER_VISUAL_GEOMETRY,WL[0],RESOLVED,ROUTE_0001,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_045,PLACEHOLDER_VISUAL_GEOMETRY,WL[1],RESOLVED,ROUTE_0002,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_046,PLACEHOLDER_VISUAL_GEOMETRY,WL[2],RESOLVED,ROUTE_0003,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_047,PLACEHOLDER_VISUAL_GEOMETRY,WL[3],RESOLVED,ROUTE_0004,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_048,PLACEHOLDER_VISUAL_GEOMETRY,BL[0],RESOLVED,ROUTE_0005,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_049,PLACEHOLDER_VISUAL_GEOMETRY,BR[0],RESOLVED,ROUTE_0006,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_050,PLACEHOLDER_VISUAL_GEOMETRY,BL[1],RESOLVED,ROUTE_0013,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_051,PLACEHOLDER_VISUAL_GEOMETRY,BR[1],RESOLVED,ROUTE_0014,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_052,PLACEHOLDER_VISUAL_GEOMETRY,BL[2],RESOLVED,ROUTE_0021,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_053,PLACEHOLDER_VISUAL_GEOMETRY,BR[2],RESOLVED,ROUTE_0022,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_054,PLACEHOLDER_VISUAL_GEOMETRY,BL[3],RESOLVED,ROUTE_0029,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_055,PLACEHOLDER_VISUAL_GEOMETRY,BR[3],RESOLVED,ROUTE_0030,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_056,PLACEHOLDER_VISUAL_GEOMETRY,precharge_en,RESOLVED,ROUTE_0041,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_057,PLACEHOLDER_VISUAL_GEOMETRY,sense_en,RESOLVED,ROUTE_0042,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_058,PLACEHOLDER_VISUAL_GEOMETRY,write_en,RESOLVED,ROUTE_0043,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_059,PLACEHOLDER_VISUAL_GEOMETRY,wordline_en,RESOLVED,ROUTE_0044,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_060,PLACEHOLDER_VISUAL_GEOMETRY,clk,RESOLVED,ROUTE_0045,GEOMETRY_PIN_TO_PIN_ROUTE,GEOMETRY_BACKED_PIN,GEOMETRY_BACKED_PIN,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_061,PLACEHOLDER_VISUAL_GEOMETRY,gated_clk,RESOLVED,ROUTE_0046,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_062,PLACEHOLDER_VISUAL_GEOMETRY,rbl_delay,RESOLVED,ROUTE_0047,SYNTHESIZED_PIN_ACCESS_ROUTE,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,SYNTHESIZED_PIN_FOR_CURRENT_GENERATOR,True,False,Signal geometry resolved in C4. Power stitching remains for C5.,Carry signal geometry into C5/C6.
BLK_063,APPROXIMATE_POWER_GEOMETRY,VDD,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_064,APPROXIMATE_POWER_GEOMETRY,GND,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_065,APPROXIMATE_ROUTE,VDD,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_066,APPROXIMATE_ROUTE,GND,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_067,APPROXIMATE_ROUTE,VDD,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_068,APPROXIMATE_ROUTE,GND,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_069,APPROXIMATE_ROUTE,VDD,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_070,APPROXIMATE_ROUTE,GND,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_071,PLACEHOLDER_VISUAL_GEOMETRY,VDD,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_072,PLACEHOLDER_VISUAL_GEOMETRY,GND,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_083,MISSING_PIN_GEOMETRY,bitcell_array:BL[0],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_084,MISSING_PIN_GEOMETRY,bitcell_array:BL[1],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_085,MISSING_PIN_GEOMETRY,bitcell_array:BL[2],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_086,MISSING_PIN_GEOMETRY,bitcell_array:BL[3],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_087,MISSING_PIN_GEOMETRY,bitcell_array:BR[0],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_088,MISSING_PIN_GEOMETRY,bitcell_array:BR[1],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_089,MISSING_PIN_GEOMETRY,bitcell_array:BR[2],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_090,MISSING_PIN_GEOMETRY,bitcell_array:BR[3],RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_091,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_092,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_093,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_094,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_095,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_096,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_097,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_098,MISSING_PIN_GEOMETRY,column_mux:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_099,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_100,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_101,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_102,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_103,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_104,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_105,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_106,MISSING_PIN_GEOMETRY,precharge:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_107,MISSING_PIN_GEOMETRY,write_driver:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_108,MISSING_PIN_GEOMETRY,write_driver:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_109,MISSING_PIN_GEOMETRY,write_driver:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
BLK_110,MISSING_PIN_GEOMETRY,write_driver:bl/br,RESOLVED,,GEOMETRY_ROUTE_WITH_MULTIPOINT_TARGETS,,,True,False,Power-only placeholder blocker will be handled by C5.,Carry signal geometry into C5/C6.
