module_or_function,openram_cell_or_region,layoutgen_cell_or_region,openyield_module_or_source,exists_in_openram,exists_in_layoutgen_golden,exists_in_openyield,difference_type,physical_implementation_status,netlist_semantics_status,control_logic_status,parameterization_status,blocking_level,recommended_action
CONTROL_LOGIC,control_logic_rw,missing explicit control_logic leaf,outputs/openyield_module_gds/CONTROL_LOGIC,True,False,True,MODULE_MISSING_IN_LAYOUTGEN|CONTROL_LOGIC_DECOMPOSITION_DIFFERS,openram=REFERENCE_ONLY; layoutgen=MODULE_MISSING_IN_LAYOUTGEN; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,OPENRAM_PRESENT_LAYOUTGEN_MISSING,OPENYIELD_ROWS_COLS_CONFIG_ONLY,HIGH,Lock OpenYield authoritative top netlist before promoting this module into parameterized planning.
DELAY_CHAIN,not isolated in this macro,gen_delay_inv,outputs/openyield_module_gds/DELAY_CHAIN,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS,openram=UNKNOWN; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,LOW,Keep as audited reference only until netlist authority and parameter mapping are locked.
DFF_ROW,row_addr_dff + data_dff + dff_buf_array,dff row/data flops,outputs/openyield_module_gds/DFF_ROW,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,LOW,Keep as audited reference only until netlist authority and parameter mapping are locked.
GATED_CLOCK_PATH,control_logic_rw gated clock logic,not isolated as named path,outputs/openyield_module_gds/GATED_CLOCK_PATH,True,False,True,MODULE_MISSING_IN_LAYOUTGEN|CONTROL_LOGIC_DECOMPOSITION_DIFFERS,openram=REFERENCE_ONLY; layoutgen=MODULE_MISSING_IN_LAYOUTGEN; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,SEMANTIC_PATH_ONLY,OPENYIELD_ROWS_COLS_CONFIG_ONLY,HIGH,Keep as audited reference only until netlist authority and parameter mapping are locked.
PRECHARGE_ENABLE_PATH,control_logic_rw precharge enable logic,not isolated as named path,outputs/openyield_module_gds/PRECHARGE_ENABLE_PATH,True,False,True,MODULE_MISSING_IN_LAYOUTGEN|CONTROL_LOGIC_DECOMPOSITION_DIFFERS,openram=REFERENCE_ONLY; layoutgen=MODULE_MISSING_IN_LAYOUTGEN; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,SEMANTIC_PATH_ONLY,OPENYIELD_ROWS_COLS_CONFIG_ONLY,HIGH,Keep as audited reference only until netlist authority and parameter mapping are locked.
SENSE_ENABLE_PATH,control_logic_rw sense enable logic,not isolated as named path,outputs/openyield_module_gds/SENSE_ENABLE_PATH,True,False,True,MODULE_MISSING_IN_LAYOUTGEN|CONTROL_LOGIC_DECOMPOSITION_DIFFERS,openram=REFERENCE_ONLY; layoutgen=MODULE_MISSING_IN_LAYOUTGEN; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,SEMANTIC_PATH_ONLY,OPENYIELD_ROWS_COLS_CONFIG_ONLY,HIGH,Keep as audited reference only until netlist authority and parameter mapping are locked.
WRITE_ENABLE_PATH,control_logic_rw write enable logic,not isolated as named path,outputs/openyield_module_gds/WRITE_ENABLE_PATH,True,False,True,MODULE_MISSING_IN_LAYOUTGEN|CONTROL_LOGIC_DECOMPOSITION_DIFFERS,openram=REFERENCE_ONLY; layoutgen=MODULE_MISSING_IN_LAYOUTGEN; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,SEMANTIC_PATH_ONLY,OPENYIELD_ROWS_COLS_CONFIG_ONLY,HIGH,Keep as audited reference only until netlist authority and parameter mapping are locked.
WORDLINE_ENABLE_PATH,control_logic_rw + port_address,not isolated as named path,outputs/openyield_module_gds/WORDLINE_ENABLE_PATH,True,False,True,MODULE_MISSING_IN_LAYOUTGEN|CONTROL_LOGIC_DECOMPOSITION_DIFFERS,openram=REFERENCE_ONLY; layoutgen=MODULE_MISSING_IN_LAYOUTGEN; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,SEMANTIC_PATH_ONLY,OPENYIELD_ROWS_COLS_CONFIG_ONLY,HIGH,Keep as audited reference only until netlist authority and parameter mapping are locked.
decoder_gate_cells,decoder primitive gates,gen_inv + gen_nand2,outputs/openyield_module_gds/decoder_gate_cells,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,LOW,Keep as audited reference only until netlist authority and parameter mapping are locked.
wordline_driver_gate_cells,wordline_driver gate primitives,imported pnand2/pinv helpers,outputs/openyield_module_gds/wordline_driver_gate_cells,True,True,True,MODULE_PRESENT_BUT_PHYSICAL_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,OPENYIELD_ROWS_COLS_CONFIG_ONLY,LOW,Keep as audited reference only until netlist authority and parameter mapping are locked.
top-level pins,top labels,"addr[0], addr[1], addr[2], addr[3], addr[4], addr[5], clk, csb, din[0], din[1]","module-only library, no SRAM top",True,True,False,MODULE_MISSING_IN_OPENYIELD_PHYSICAL|NETLIST_CONNECTIVITY_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=REFERENCE_ONLY,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,TOP_LEVEL_PARAMETERIZATION_NOT_LOCKED,MEDIUM,Lock OpenYield authoritative top netlist before promoting this module into parameterized planning.
VDD/GND rails,top rail polygons and labels,top VDD/GND labels and rails,module rail_report.json files,True,True,True,NETLIST_CONNECTIVITY_DIFFERS,openram=REFERENCE_ONLY; layoutgen=PHYSICAL_IMPLEMENTATION_PARTIAL; openyield=PHYSICAL_IMPLEMENTATION_PARTIAL,OPENYIELD_TOP_AUTHORITY_NOT_LOCKED,MATCH_NOT_PROVEN,TOP_LEVEL_PARAMETERIZATION_NOT_LOCKED,MEDIUM,Lock OpenYield authoritative top netlist before promoting this module into parameterized planning.
