classification,topic,mechanism,evidence_file,class_or_function,why_it_matters,notes
must_learn,floorplan,Bank quadrant floorplan + central bus,/data1/qujh/OpenRAM/compiler/modules/bank.py:291-359;/data1/qujh/OpenRAM/compiler/modules/bank.py:677-719,place_instances;compute_sizes;route_central_bus,SRAM floorplanning needs a topology-aware organizer rather than generic packing,This is one of the strongest reusable patterns
must_learn,routing,Primitive layout and routing API,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:1135-1319,add_layout_pin;add_path;add_wire;add_via_stack_center,A minimal but expressive primitive API is required under all generators,Current GDS writer needs a richer layout object model around this idea
must_learn,routing,Bus generation API,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:1563-1615,create_vertical_bus;create_horizontal_bus;create_bus,Structured buses reduce repeated routing boilerplate,Needed for address/control/power spines
must_learn,verification,Unified DRC/LVS hook surface,/data1/qujh/OpenRAM/compiler/base/hierarchy_design.py:50-79;/data1/qujh/OpenRAM/compiler/verify/__init__.py:41-63,DRC_LVS;backend imports,Verification should be hooked in one place even if closure is out of scope,Keep hookable and external
can_adapt,array,Hierarchical local/global bitcell array split,/data1/qujh/OpenRAM/compiler/modules/local_bitcell_array.py:78-211;/data1/qujh/OpenRAM/compiler/modules/global_bitcell_array.py:17-160,add_modules;place;route;add_layout_pins,Useful if OpenYield later needs larger fanout control on wordlines,Probably unnecessary for first OpenYield full SRAM generator
can_adapt,routing,Channel router conflict-graph idea,/data1/qujh/OpenRAM/compiler/base/channel_route.py:72-260,class channel_route.route,Good intermediate routing abstraction for grouped nets,Use only where dense channels exist
can_adapt,power,Perimeter supply routing,/data1/qujh/OpenRAM/compiler/router/supply_router.py:15-200,class supply_router.route,Top-level power export can be automated without building a full router,Adapt only after block-level supply pins exist
can_adapt,signals,Perimeter signal escape routing,/data1/qujh/OpenRAM/compiler/router/signal_escape_router.py:14-214,class signal_escape_router.route,Useful for exported I/O perimeter organization,May be overkill for early OpenYield iterations
can_adapt,lef,LEF from layout pins,/data1/qujh/OpenRAM/compiler/base/lef.py:70-203,lef_write;lef_write_pin;lef_write_obstructions,Demonstrates one consistent path from layout pins to abstract LEF,Current project LEFWriter can absorb this consistency model
can_adapt,control,Delay-only control logic strategy,/data1/qujh/OpenRAM/compiler/modules/control_logic_delay.py:37-371,add_modules;setup_signal_busses;create_delay;route_delay,Shows control logic should be pluggable,Only after OpenYield timing semantics are clearer
should_not_copy,architecture,Global OPTS-heavy mutable architecture,/data1/qujh/OpenRAM/compiler/sram.py:23-58;/data1/qujh/OpenRAM/compiler/sram_config.py:185-214,sram.__init__;setup_multiport_constants,Too much behavior is hidden in global state,Prefer explicit immutable config objects
should_not_copy,architecture,Constructor-triggered DRC/LVS,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py:209-243;/data1/qujh/OpenRAM/compiler/base/hierarchy_design.py:50-79,create_layout;DRC_LVS,Makes generation side effects hard to control and test,Keep verification out of constructors
should_not_copy,architecture,Monolithic save flow mixing generation and collateral,/data1/qujh/OpenRAM/compiler/sram.py:99-194,sram.save,Combines GDS LEF SPICE scripts characterization and reports in one path,Prefer separate explicit pipeline stages
should_not_copy,scope,Multiport and multibank generality as initial target,/data1/qujh/OpenRAM/compiler/sram_config.py:185-214;/data1/qujh/OpenRAM/compiler/modules/bank.py:360-415,setup_multiport_constants;add_modules,This adds branching and layout complexity outside current OpenYield scope,Start from single-bank single-port
should_not_copy,control,Replica-bitline timing assumptions as default,/data1/qujh/OpenRAM/compiler/modules/control_logic.py:102-254,setup_signal_busses;create_delay;create_pen_row,OpenYield may need different timing semantics and not all paths should be derived from RBL delay,Model this explicitly if needed
should_not_copy,placement,Hard-coded placement heuristics in module bodies,/data1/qujh/OpenRAM/compiler/modules/sram_1bank.py:782-910;/data1/qujh/OpenRAM/compiler/modules/bank.py:291-359,place_instances;compute_sizes,The topology is useful but the exact heuristics should be refactored into a planner layer,Keep planner separate from module generators
should_not_copy,routing,Early commitment to general-purpose Hanan-grid routing,/data1/qujh/OpenRAM/compiler/router/supply_router.py:15-200;/data1/qujh/OpenRAM/compiler/router/signal_escape_router.py:14-214,class supply_router.route;class signal_escape_router.route,Too heavy for a first self-developed OpenYield SRAM generator,Begin with SRAM-specialized deterministic routing
should_not_copy,tech_coupling,Dynamic import and tech property coupling everywhere,/data1/qujh/OpenRAM/compiler/sram_factory.py:14-110;/data1/qujh/OpenRAM/compiler/modules/capped_replica_bitcell_array.py:318-373,create;route_supplies,Too much implicit behavior depends on technology-side naming and properties,Use narrower typed interfaces
should_not_copy,naming,Implicit name aliasing as a hidden contract,/data1/qujh/OpenRAM/compiler/base/hierarchy_layout.py:605-620;/data1/qujh/OpenRAM/compiler/modules/bitcell_base_array.py:26-59,get_pin_name;create_all_bitline_names,OpenYield should keep naming contracts explicit and traceable,Use contract metadata instead of many hidden aliases
should_not_copy,verification,Inline verification as proof of correctness,/data1/qujh/OpenRAM/compiler/base/hierarchy_design.py:50-79,DRC_LVS,Current project should keep claims and evidence separated from generator core,Verification hooks yes signoff claims no
replace_with_openyield_specific,front_end,OpenYield semantic parser,NOT_FOUND,NOT_FOUND,Current repo lacks a full SRAM semantic parser for physical generation,Needs to be built around OpenYield netlist and module semantics
replace_with_openyield_specific,parameter_model,OpenYield-scoped canonical parameter model,/data1/qujh/OpenRAM/compiler/sram_config.py:14-149;/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/top_level_assembly.py:193-260,class sram_config;TopLevelAssemblyConfig,Need a reduced but explicit model for single-bank single-port words_per_row 1 or 2,Do not inherit OpenRAM's full parameter breadth
replace_with_openyield_specific,registry,SRAM-aware generator registry,/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/module_gds_generators.py:151-1227,ModuleLayoutGenerator;ModuleGDSGeneratorRegistry,The current project already has a useful registry pattern but not full SRAM path composition,Extend don't replace
replace_with_openyield_specific,floorplan,Topology-aware SRAM planner,/data1/qujh/OpenRAM/compiler/modules/bank.py:291-359;/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/top_level_assembly.py:380-590,place_instances;build_top_level_floorplan,Need an SRAM-specific planner instead of candidate assembly heuristics,Use current floorplan metadata discipline
replace_with_openyield_specific,pins,Contract-pin-aware exporter,/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/openyield_adapter/top_level_assembly.py:921-1014,_build_top_level_pin_map,Current project already treats pin contracts as explicit metadata,Carry this into full SRAM physical generation
replace_with_openyield_specific,gds,GDS serialization reuse,/data1/qujh/work/sram_layoutgen_step45_clean/sram_layoutgen/gds_writer.py:16-318,GDSWriter,A custom GDS writer already exists and should stay the backend,Expand layout schema rather than swapping the writer
