module,module_category,openyield_source_found,openyield_source_path,openyield_netlist_or_semantics_status,ports_or_pins_known,local_adapter_or_module_found,local_adapter_path,physical_cell_or_gds_found,physical_cell_path,pin_mapping_status,bbox_or_size_status,placement_status,row_or_array_abutment_status,vdd_gnd_rail_status,routing_status,timing_evidence_status,drc_status,lvs_status,used_in_current_hybrid_gds,current_hybrid_status,fallback_used,fallback_reason,readiness_level,blocking_gap,next_required_action,evidence_files
wordline_driver_gate_cells,decoder_logic,True,sram_compiler/subcircuits/wordline_driver.py;sram_compiler/subcircuits/standard_cell.py,wordline-driver leaf semantics confirmed,A/B/Z plus vdd/gnd confirmed,True,sram_layoutgen/openyield_adapter/gate_row_packer.py;sram_layoutgen/openyield_adapter/wordlinedriver_adapter.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_wl_driver.gds,leaf_pin_mapping_confirmed,leaf_bbox_known,limited_row_driver_placement_plan_available,row packing possible_shared_rail_disabled,leaf_vdd_gnd_present_across_row_continuity_unproven,wordline_driver_rows_not_routing_closed,no_time_control_timing_closure,not_claimed,not_claimed,False,not_separately_materialized_in_current_hybrid,False,,PHYSICAL_PLACED_NEEDS_RAIL_STITCH,"wordline-driver leaves are mapped, but row-abutment rail continuity and routed integration are not proven",fold wordline-driver leaves into decoder/control row abutment and rail audit,docs/openyield_wordlinedriver_adapter_report.json;docs/openyield_cell_rail_overlap_eligibility_report.json
DELAY_CHAIN,time_control,True,sram_compiler/subcircuits/time_generate.py,source_linked_delay_chain_timing_metadata_available,"DelayChain VDD,VSS,in,out and rbl->rbl_delay usage proven",True,sram_layoutgen/openyield_adapter/timing_metadata_consumer.py;sram_layoutgen/openyield_adapter/source_linked_timing_metadata.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_delay_inv.gds;technology/freepdk45/gds_lib/gen_delay_inv.gds,metadata_consumer_api_ready_no_physical_pin_mapping_claim,leaf_bbox_known_but_chain_placement_not_enabled,legacy_fallback_control_timing,not_physically_integrated,leaf_rail_geometry_exists_but_chain_integration_unproven,legacy_top_level_routing,source_linked_and_smoke_timing_metadata_available,not_claimed,not_claimed,True,legacy fallback with metadata consumer,True,timing metadata is consumable but physical integration is not claimed,READY_FOR_METADATA_CONSUMPTION,timing metadata is consumable but there is no physical DELAY_CHAIN integration in layoutgen,implement_metadata_consumer_adapter_without_touching_standalone,docs/openyield_source_provenance_linking_report.md;docs/openyield_source_linked_timing_metadata_audit_report.json;docs/openyield_timing_metadata_consumer_smoke_report.json;docs/openyield_delay_chain_timing_metadata_report.json;docs/openyield_delay_chain_pvt_corner_smoke_report.json;outputs/layout_prototype/hybrid_openyield/module_coverage.json
PRECHARGE,time_control,True,sram_compiler/subcircuits/precharge_and_write_driver.py,source_linked_precharge_candidate_with_smoke_only,"PRECHARGE VDD,ENB,BL,BLB contract known",True,sram_layoutgen/openyield_adapter/control_path_candidate_generation.py;sram_layoutgen/openyield_adapter/time_control_generated_logic_contracts.py,True,technology/freepdk45/gds_lib/openram_replacements/gen_precharge.gds;technology/freepdk45/gds_lib/gen_precharge.gds,candidate_only_en_bar_alias_known_not_physically_integrated,gen_precharge_bbox_known,legacy_fallback_precharge_row,precharge_row_not_openyield_driven,vdd_only_exception_no_physical_ready_rail_proof,legacy_top_level_routing,source_linked_candidate_spice_smoke_available,not_claimed,not_claimed,True,legacy fallback precharge row,True,source-linked candidate exists but no OpenYield physical macro is installed,CANDIDATE_CONTRACT_ONLY,local gen_precharge exists but OpenYield PRECHARGE is not physically integrated into placement/routing,run_precharge_enable_path_smoke;add_realistic_bitline_rc;confirm_pin_polarity,docs/mapping/openyield_control_timing_mapping.csv;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
PRECHARGE_ENABLE_PATH,time_control,True,sram_compiler/subcircuits/time_generate.py,source_linked_candidate_contract_only,"gated_clk_buf, rbl_delay, wl_en_bar -> PRE_UNBUF -> PRE",True,sram_layoutgen/openyield_adapter/control_path_candidate_generation.py;sram_layoutgen/openyield_adapter/time_control_generated_logic_contracts.py,False,,candidate_contract_only_no_physical_pin_mapping,no_physical_bbox_for_control_path,legacy_fallback_control_logic,no_control_path_physical_abutment,no_control_path_physical_rail_proof,legacy_top_level_routing,source_linked_candidate_contract_available,not_claimed,not_claimed,True,legacy fallback control logic,True,"candidate contract exists, but no physical-ready OpenYield implementation is present",CANDIDATE_CONTRACT_ONLY,"candidate contract exists, but no physical-ready OpenYield implementation or placement hook is present",requires_model_recovery;requires_pin_validation;requires_transient_smoke,docs/mapping/openyield_control_timing_mapping.csv;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
SENSE_ENABLE_PATH,time_control,True,sram_compiler/subcircuits/time_generate.py,source_linked_candidate_contract_only,"rbl_delay, gated_clk_bar, we_bar -> s_en",True,sram_layoutgen/openyield_adapter/control_path_candidate_generation.py;sram_layoutgen/openyield_adapter/time_control_signal_bindings.py,False,,candidate_contract_only_no_physical_pin_mapping,no_physical_bbox_for_control_path,legacy_fallback_control_logic,no_control_path_physical_abutment,no_control_path_physical_rail_proof,legacy_top_level_routing,source_linked_candidate_contract_available,not_claimed,not_claimed,True,legacy fallback control logic,True,"candidate contract exists, but no physical-ready OpenYield implementation is present",CANDIDATE_CONTRACT_ONLY,"candidate contract exists, but no physical-ready OpenYield implementation or placement hook is present",needs_spice_model;needs_transient_smoke;needs_mapping_to_layoutgen_adapter,docs/mapping/openyield_control_timing_mapping.csv;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
WRITE_ENABLE_PATH,time_control,True,sram_compiler/subcircuits/time_generate.py,source_linked_candidate_contract_only,"rbl_delay_bar or rbl_delay_bar_wen, gated_clk_bar, we -> w_en",True,sram_layoutgen/openyield_adapter/control_path_candidate_generation.py;sram_layoutgen/openyield_adapter/time_control_signal_bindings.py,False,,candidate_contract_only_no_physical_pin_mapping,no_physical_bbox_for_control_path,legacy_fallback_control_logic,no_control_path_physical_abutment,no_control_path_physical_rail_proof,legacy_top_level_routing,source_linked_candidate_contract_available,not_claimed,not_claimed,True,legacy fallback control logic,True,"candidate contract exists, but no physical-ready OpenYield implementation is present",CANDIDATE_CONTRACT_ONLY,"candidate contract exists, but no physical-ready OpenYield implementation or placement hook is present",needs_spice_model;needs_transient_smoke;needs_mapping_to_layoutgen_adapter,docs/mapping/openyield_control_timing_mapping.csv;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
WORDLINE_ENABLE_PATH,time_control,True,sram_compiler/subcircuits/time_generate.py,source_linked_candidate_contract_only,gated_clk_bar -> wl_en -> wl_en_bar,True,sram_layoutgen/openyield_adapter/control_path_candidate_generation.py;sram_layoutgen/openyield_adapter/time_control_signal_bindings.py,False,,candidate_contract_only_no_physical_pin_mapping,no_physical_bbox_for_control_path,legacy_fallback_control_logic,no_control_path_physical_abutment,no_control_path_physical_rail_proof,legacy_top_level_routing,source_linked_candidate_contract_available,not_claimed,not_claimed,True,legacy fallback control logic,True,"candidate contract exists, but no physical-ready OpenYield implementation is present",CANDIDATE_CONTRACT_ONLY,"candidate contract exists, but no physical-ready OpenYield implementation or placement hook is present",needs_spice_model;needs_transient_smoke;needs_mapping_to_layoutgen_adapter,docs/mapping/openyield_control_timing_mapping.csv;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
GATED_CLOCK_PATH,time_control,True,sram_compiler/subcircuits/time_generate.py,source_linked_candidate_contract_only,"cs, clk_bar -> gated_clk_bar; cs, clk_buf -> gated_clk_buf",True,sram_layoutgen/openyield_adapter/control_path_candidate_generation.py;sram_layoutgen/openyield_adapter/time_control_signal_bindings.py,False,,candidate_contract_only_no_physical_pin_mapping,no_physical_bbox_for_control_path,legacy_fallback_control_logic,no_control_path_physical_abutment,no_control_path_physical_rail_proof,legacy_top_level_routing,source_linked_candidate_contract_available,not_claimed,not_claimed,True,legacy fallback control logic,True,"candidate contract exists, but no physical-ready OpenYield implementation is present",CANDIDATE_CONTRACT_ONLY,"candidate contract exists, but no physical-ready OpenYield implementation or placement hook is present",needs_spice_model;needs_transient_smoke;needs_mapping_to_layoutgen_adapter,docs/mapping/openyield_control_timing_mapping.csv;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
DFF_ROW,time_control,True,sram_compiler/subcircuits/time_generate.py;sram_compiler/subcircuits/standard_cell.py,dff_leaf_semantics_mappable_metadata_only,"VDD,VSS,D,Q,CLK plus row semantics known",True,sram_layoutgen/openyield_adapter/dff_array_adapter.py;sram_layoutgen/openyield_adapter/dff_array_placement.py,True,technology/freepdk45/gds_lib/dff.gds;technology/freepdk45/sp_lib/dff.sp,dff_leaf_mapping_matched_but_row_integration_not_enabled,dff_bbox_known,metadata_only_dff_row,dff_row_abutment_unproven_for_main_flow,shared_rail_disabled_row_continuity_unproven,legacy_top_level_routing,source_linked_candidate_contract_available,not_claimed,not_claimed,True,legacy fallback control logic,True,"candidate contract exists, but no physical-ready OpenYield implementation is present",CANDIDATE_CONTRACT_ONLY,"DFF leaf mapping exists, but DFF_ROW is still metadata-only and not physically integrated into the hybrid flow",needs_spice_model;needs_transient_smoke;needs_mapping_to_layoutgen_adapter,docs/openyield_dff_array_adapter_report.json;docs/mapping/openyield_control_path_candidate_contracts.csv;outputs/layout_prototype/hybrid_openyield/module_coverage.json
routing,integration,False,,not_an_openyield_leaf_module,not_applicable,True,sram_layoutgen/standalone.py,False,,not_applicable,not_applicable,legacy_routing_only,not_applicable,depends_on_unfinished_physical_domains,legacy_top_level_routing_still_active,routing_not_timing_closed,not_claimed,not_claimed,False,legacy routing retained,False,,BLOCKED,current hybrid still depends on legacy top-level routing rather than OpenYield-driven routing,replace or compact legacy routing after control/peripheral placement closure,docs/openyield_layout_prototype_generation_report.json
power_rail_stitching,integration,False,,not_an_openyield_leaf_module,power-rail geometry partially inventoried,True,sram_layoutgen/openyield_adapter/hardcell_power_rail_continuity.py,False,,not_applicable,macro rail geometry partially known,verification_only,some_row_abutment_evidence_exists,global continuity unproven,depends_on_unfinished_domains,not_applicable,not_claimed,not_claimed,False,verification gate only,False,,BLOCKED,shared rail continuity is not globally proven across peripherals and control rows,run rail continuity verification and selective stitching for decoder/control/peripheral domains,docs/openyield_hardcell_power_rail_continuity_report.json;docs/openyield_cell_rail_overlap_eligibility_report.json
GDS_writer,integration,False,,not_an_openyield_leaf_module,not_applicable,True,sram_layoutgen/gds_writer.py,False,,not_applicable,not_applicable,legacy_writer_retained,not_applicable,not_applicable,writer unchanged,not_applicable,not_claimed,not_claimed,False,legacy writer retained,False,,BLOCKED,current reports deliberately keep gds_writer unchanged and do not prove a full OpenYield writer path,avoid writer work until physical integration justifies it,docs/openyield_layout_prototype_generation_report.json
DRC,signoff,False,,signoff_capability,not_applicable,True,sram_layoutgen/signoff.py;sram_layoutgen/verifier.py,True,technology/freepdk45/tech/freepdk45.lydrc,not_applicable,signoff_deck_available,not_applicable,depends_on_physical_completion,depends_on_physical_completion,depends_on_physical_completion,not_applicable,not_claimed,not_claimed,False,cannot_claim_drc_clean_now,False,,BLOCKED,full-chip OpenYield DRC clean is explicitly not claimed,run guarded DRC sanity only after placement/routing/rail closure,docs/openyield_layout_prototype_generation_report.json
LVS,signoff,False,,signoff_capability,not_applicable,True,sram_layoutgen/signoff.py;sram_layoutgen/verifier.py,True,technology/freepdk45/tech/freepdk45.lylvs,not_applicable,lvs_deck_available,not_applicable,depends_on_physical_completion,depends_on_physical_completion,depends_on_physical_completion,not_applicable,not_claimed,not_claimed,False,cannot_claim_lvs_clean_now,False,,BLOCKED,full-chip OpenYield LVS clean is explicitly not claimed,run guarded LVS sanity only after physical integration is materially complete,docs/openyield_layout_prototype_generation_report.json
timing,signoff,True,sram_compiler/subcircuits/time_generate.py,delay_chain_smoke_timing_only_control_paths_unproven,DELAY_CHAIN timing nodes proven; control-path timing mostly candidate-only,True,sram_layoutgen/openyield_adapter/timing_metadata_consumer.py,False,,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,routing_not_closed,smoke_only_no_timing_closure,not_claimed,not_claimed,False,cannot_claim_timing_closure_now,False,,BLOCKED,timing evidence is limited to smoke metadata and does not constitute timing closure,expand physical timing evidence only after control-path placement and routing are integrated,docs/openyield_delay_chain_timing_metadata_report.json;docs/openyield_timing_metadata_consumer_smoke_report.json;docs/openyield_layout_prototype_generation_report.json
